db, DOS
5,0.849994277736
10,0.923240650228
15,0.806931568382
20,0.946089842632
25,0.946089842632
30,0.823040124516
35,0.892172692173
40,0.96718299327
45,0.96718299327
50,0.96718299327
55,0.957806705633
60,0.957806705633
65,0.96718299327
70,0.96718299327
75,0.96718299327
80,0.96718299327
85,0.96718299327
90,0.96718299327
95,0.96718299327
100,0.96718299327
5,0.849994277736,131072
5,0.849994277736,131072
10,0.923240650228,134144
15,0.806931568382,674816
20,0.946089842632,23552
25,0.946089842632,23552
30,0.823040124516,154624
35,0.892172692173,23552
40,0.96718299327,7168
45,0.96718299327,7168
50,0.96718299327,7168
55,0.957806705633,9216
60,0.957806705633,9216
65,0.96718299327,7168
70,0.96718299327,7168
75,0.96718299327,7168
80,0.96718299327,7168
85,0.96718299327,7168
90,0.96718299327,7168
95,0.96718299327,7168
100,0.96718299327,7168
5,0.849994277736,78643
10,0.923240650228,80486
15,0.806931568382,404889
20,0.946089842632,14131
25,0.946089842632,14131
30,0.823040124516,92774
35,0.892172692173,14131
40,0.96718299327,4300
45,0.96718299327,4300
50,0.96718299327,4300
55,0.957806705633,5529
60,0.957806705633,5529
65,0.96718299327,4300
70,0.96718299327,4300
75,0.96718299327,4300
80,0.96718299327,4300
85,0.96718299327,4300
90,0.96718299327,4300
95,0.96718299327,4300
100,0.96718299327,4300
