type_of_algo,minRF,minCS,maxOR,increment,inpfile,outfile,candidate_old,candidate_new,process_done
cmine_increment,0.06,0.5,0.6,20,../dataset/kosarak/kosarak_increment_20K.txt,./outputs/kosarak/kosarak_20_0.06_0.5_0.6_kosarak.txt,5,12996,62.2372570038
cmine_increment,0.025,0.5,0.1,20,../dataset/kosarak/kosarak_increment_20K.txt,./outputs/kosarak/kosarak_20_0.025_0.5_0.1_kosarak.txt,6,13124,70.1252958775
cmine_increment,0.025,0.5,0.2,20,../dataset/kosarak/kosarak_increment_20K.txt,./outputs/kosarak/kosarak_20_0.025_0.5_0.2_kosarak.txt,28,13163,71.787705183
cmine_increment,0.06,0.5,0.6,20,../dataset/kosarak/kosarak_increment_20K.txt,./outputs/kosarak/kosarak_20_0.06_0.5_0.6_kosarak.txt,5,12996,61.3786959648
cmine_increment,0.025,0.5,0.3,20,../dataset/kosarak/kosarak_increment_20K.txt,./outputs/kosarak/kosarak_20_0.025_0.5_0.3_kosarak.txt,97,13254,77.7241449356
cmine_increment,0.025,0.5,0.4,20,../dataset/kosarak/kosarak_increment_20K.txt,./outputs/kosarak/kosarak_20_0.025_0.5_0.4_kosarak.txt,198,13379,91.1930279732
cmine_increment,0.025,0.5,0.5,20,../dataset/kosarak/kosarak_increment_20K.txt,./outputs/kosarak/kosarak_20_0.025_0.5_0.5_kosarak.txt,205,13488,111.78895092
cmine_increment,0.025,0.5,0.6,20,../dataset/kosarak/kosarak_increment_20K.txt,./outputs/kosarak/kosarak_20_0.025_0.5_0.6_kosarak.txt,342,13571,148.805834055
cmine_increment,0.025,0.5,0.7,20,../dataset/kosarak/kosarak_increment_20K.txt,./outputs/kosarak/kosarak_20_0.025_0.5_0.7_kosarak.txt,644,13908,196.240403891
cmine_increment,0.025,0.5,0.8,20,../dataset/kosarak/kosarak_increment_20K.txt,./outputs/kosarak/kosarak_20_0.025_0.5_0.8_kosarak.txt,357,13512,282.81704998
cmine_increment,0.025,0.5,0.9,20,../dataset/kosarak/kosarak_increment_20K.txt,./outputs/kosarak/kosarak_20_0.025_0.5_0.9_kosarak.txt,970,14024,593.601511002
cmine_increment,0.025,0.5,0.6,5,../dataset/kosarak/kosarak_increment_5K.txt,./outputs/kosarak/kosarak_5_0.025_0.5_0.6_test_out.txt,4659,11809,182.803238153
cmine_increment,0.025,0.5,0.6,10,../dataset/kosarak/kosarak_increment_10K.txt,./outputs/kosarak/kosarak_10_0.025_0.5_0.6_test_out.txt,288,10035,91.0278160572
cmine_increment,0.025,0.5,0.6,15,../dataset/kosarak/kosarak_increment_15K.txt,./outputs/kosarak/kosarak_15_0.025_0.5_0.6_test_out.txt,360,11933,121.175698042
cmine_increment,0.025,0.5,0.6,20,../dataset/kosarak/kosarak_increment_20K.txt,./outputs/kosarak/kosarak_20_0.025_0.5_0.6_test_out.txt,342,13571,147.424645901
cmine_increment,0.025,0.5,0.6,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.025_0.5_0.6_test_out.txt,365,14968,170.287564039
cmine_increment,0.025,0.5,0.6,30,../dataset/kosarak/kosarak_increment_30K.txt,./outputs/kosarak/kosarak_30_0.025_0.5_0.6_test_out.txt,362,15999,207.173583031
cmine_increment,0.025,0.5,0.6,35,../dataset/kosarak/kosarak_increment_35K.txt,./outputs/kosarak/kosarak_35_0.025_0.5_0.6_test_out.txt,311,16931,228.670654058
cmine_increment,0.025,0.5,0.6,40,../dataset/kosarak/kosarak_increment_40K.txt,./outputs/kosarak/kosarak_40_0.025_0.5_0.6_test_out.txt,804,18190,268.818610907
cmine_increment,0.025,0.5,0.6,45,../dataset/kosarak/kosarak_increment_45K.txt,./outputs/kosarak/kosarak_45_0.025_0.5_0.6_test_out.txt,843,18988,296.989082813
,,,,,,,,,
cmine_increment,0.03,0.5,0.1,20,../dataset/kosarak/kosarak_increment_20K.txt,./outputs/kosarak/kosarak_20_0.03_0.5_0.1_kosarak.txt,4,13096,69.5602319241
cmine_increment,0.03,0.5,0.2,20,../dataset/kosarak/kosarak_increment_20K.txt,./outputs/kosarak/kosarak_20_0.03_0.5_0.2_kosarak.txt,15,13105,71.0065321922
cmine_increment,0.03,0.5,0.3,20,../dataset/kosarak/kosarak_increment_20K.txt,./outputs/kosarak/kosarak_20_0.03_0.5_0.3_kosarak.txt,46,13156,74.899089098
cmine_increment,0.03,0.5,0.4,20,../dataset/kosarak/kosarak_increment_20K.txt,./outputs/kosarak/kosarak_20_0.03_0.5_0.4_kosarak.txt,106,13234,81.0891571045
cmine_increment,0.03,0.5,0.5,20,../dataset/kosarak/kosarak_increment_20K.txt,./outputs/kosarak/kosarak_20_0.03_0.5_0.5_kosarak.txt,134,13340,89.428686142
cmine_increment,0.03,0.5,0.6,20,../dataset/kosarak/kosarak_increment_20K.txt,./outputs/kosarak/kosarak_20_0.03_0.5_0.6_kosarak.txt,170,13377,108.694720984
cmine_increment,0.03,0.5,0.7,20,../dataset/kosarak/kosarak_increment_20K.txt,./outputs/kosarak/kosarak_20_0.03_0.5_0.7_kosarak.txt,301,13536,127.878412008
cmine_increment,0.03,0.5,0.8,20,../dataset/kosarak/kosarak_increment_20K.txt,./outputs/kosarak/kosarak_20_0.03_0.5_0.8_kosarak.txt,238,13393,180.807737112
cmine_increment,0.03,0.5,0.9,20,../dataset/kosarak/kosarak_increment_20K.txt,./outputs/kosarak/kosarak_20_0.03_0.5_0.9_kosarak.txt,549,13603,316.469268084
cmine_increment,0.03,0.5,0.6,5,../dataset/kosarak/kosarak_increment_5K.txt,./outputs/kosarak/kosarak_5_0.03_0.5_0.6_test_out.txt,85,7210,49.2732830048
cmine_increment,0.03,0.5,0.6,10,../dataset/kosarak/kosarak_increment_10K.txt,./outputs/kosarak/kosarak_10_0.03_0.5_0.6_test_out.txt,154,9881,70.8141400814
cmine_increment,0.03,0.5,0.6,15,../dataset/kosarak/kosarak_increment_15K.txt,./outputs/kosarak/kosarak_15_0.03_0.5_0.6_test_out.txt,199,11744,90.392980814
cmine_increment,0.03,0.5,0.6,20,../dataset/kosarak/kosarak_increment_20K.txt,./outputs/kosarak/kosarak_20_0.03_0.5_0.6_test_out.txt,170,13377,108.360155106
cmine_increment,0.03,0.5,0.6,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.03_0.5_0.6_test_out.txt,186,14763,127.280754089
cmine_increment,0.03,0.5,0.6,30,../dataset/kosarak/kosarak_increment_30K.txt,./outputs/kosarak/kosarak_30_0.03_0.5_0.6_test_out.txt,174,15782,146.349945784
cmine_increment,0.03,0.5,0.6,35,../dataset/kosarak/kosarak_increment_35K.txt,./outputs/kosarak/kosarak_35_0.03_0.5_0.6_test_out.txt,167,16740,156.11878109
cmine_increment,0.03,0.5,0.6,40,../dataset/kosarak/kosarak_increment_40K.txt,./outputs/kosarak/kosarak_40_0.03_0.5_0.6_test_out.txt,632,17975,191.060137987
cmine_increment,0.03,0.5,0.6,45,../dataset/kosarak/kosarak_increment_45K.txt,./outputs/kosarak/kosarak_45_0.03_0.5_0.6_test_out.txt,661,18751,212.635091782
,,,,,,,,,
cmine_increment,0.035,0.5,0.1,20,../dataset/kosarak/kosarak_increment_20K.txt,./outputs/kosarak/kosarak_20_0.035_0.5_0.1_kosarak.txt,2,13038,68.849339962
cmine_increment,0.035,0.5,0.2,20,../dataset/kosarak/kosarak_increment_20K.txt,./outputs/kosarak/kosarak_20_0.035_0.5_0.2_kosarak.txt,10,13042,69.3972978592
cmine_increment,0.035,0.5,0.3,20,../dataset/kosarak/kosarak_increment_20K.txt,./outputs/kosarak/kosarak_20_0.035_0.5_0.3_kosarak.txt,22,13049,70.3940501213
cmine_increment,0.035,0.5,0.4,20,../dataset/kosarak/kosarak_increment_20K.txt,./outputs/kosarak/kosarak_20_0.035_0.5_0.4_kosarak.txt,27,13048,71.5447330475
cmine_increment,0.035,0.5,0.5,20,../dataset/kosarak/kosarak_increment_20K.txt,./outputs/kosarak/kosarak_20_0.035_0.5_0.5_kosarak.txt,32,13086,73.2877640724
cmine_increment,0.035,0.5,0.6,20,../dataset/kosarak/kosarak_increment_20K.txt,./outputs/kosarak/kosarak_20_0.035_0.5_0.6_kosarak.txt,34,13071,76.6065859795
cmine_increment,0.035,0.5,0.7,20,../dataset/kosarak/kosarak_increment_20K.txt,./outputs/kosarak/kosarak_20_0.035_0.5_0.7_kosarak.txt,62,13082,78.7691218853
cmine_increment,0.035,0.5,0.8,20,../dataset/kosarak/kosarak_increment_20K.txt,./outputs/kosarak/kosarak_20_0.035_0.5_0.8_kosarak.txt,30,13024,83.919713974
cmine_increment,0.035,0.5,0.9,20,../dataset/kosarak/kosarak_increment_20K.txt,./outputs/kosarak/kosarak_20_0.035_0.5_0.9_kosarak.txt,88,13068,101.785001993
cmine_increment,0.035,0.5,0.6,5,../dataset/kosarak/kosarak_increment_5K.txt,./outputs/kosarak/kosarak_5_0.035_0.5_0.6_test_out.txt,673,7616,55.6555202007
cmine_increment,0.035,0.5,0.6,10,../dataset/kosarak/kosarak_increment_10K.txt,./outputs/kosarak/kosarak_10_0.035_0.5_0.6_test_out.txt,39,9600,53.0997989178
cmine_increment,0.035,0.5,0.6,15,../dataset/kosarak/kosarak_increment_15K.txt,./outputs/kosarak/kosarak_15_0.035_0.5_0.6_test_out.txt,36,11418,64.5108859539
cmine_increment,0.035,0.5,0.6,20,../dataset/kosarak/kosarak_increment_20K.txt,./outputs/kosarak/kosarak_20_0.035_0.5_0.6_test_out.txt,34,13071,75.9056072235
cmine_increment,0.035,0.5,0.6,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.035_0.5_0.6_test_out.txt,32,14441,87.8258149624
cmine_increment,0.035,0.5,0.6,30,../dataset/kosarak/kosarak_increment_30K.txt,./outputs/kosarak/kosarak_30_0.035_0.5_0.6_test_out.txt,30,15441,98.3413000107
cmine_increment,0.035,0.5,0.6,35,../dataset/kosarak/kosarak_increment_35K.txt,./outputs/kosarak/kosarak_35_0.035_0.5_0.6_test_out.txt,30,16396,110.789225101
cmine_increment,0.035,0.5,0.6,40,../dataset/kosarak/kosarak_increment_40K.txt,./outputs/kosarak/kosarak_40_0.035_0.5_0.6_test_out.txt,699,17874,145.76322794
cmine_increment,0.035,0.5,0.6,45,../dataset/kosarak/kosarak_increment_45K.txt,./outputs/kosarak/kosarak_45_0.035_0.5_0.6_test_out.txt,703,18628,157.184335947
,,,,,,,,,
cmine_increment,0.04,0.5,0.1,20,../dataset/kosarak/kosarak_increment_20K.txt,./outputs/kosarak/kosarak_20_0.04_0.5_0.1_kosarak.txt,2,13038,69.1154499054
cmine_increment,0.04,0.5,0.2,20,../dataset/kosarak/kosarak_increment_20K.txt,./outputs/kosarak/kosarak_20_0.04_0.5_0.2_kosarak.txt,10,13042,69.8536419868
cmine_increment,0.04,0.5,0.3,20,../dataset/kosarak/kosarak_increment_20K.txt,./outputs/kosarak/kosarak_20_0.04_0.5_0.3_kosarak.txt,22,13049,70.3625280857
cmine_increment,0.04,0.5,0.4,20,../dataset/kosarak/kosarak_increment_20K.txt,./outputs/kosarak/kosarak_20_0.04_0.5_0.4_kosarak.txt,27,13048,72.7843289375
cmine_increment,0.04,0.5,0.5,20,../dataset/kosarak/kosarak_increment_20K.txt,./outputs/kosarak/kosarak_20_0.04_0.5_0.5_kosarak.txt,32,13086,73.3524739742
cmine_increment,0.04,0.5,0.6,20,../dataset/kosarak/kosarak_increment_20K.txt,./outputs/kosarak/kosarak_20_0.04_0.5_0.6_kosarak.txt,34,13071,76.0326509476
cmine_increment,0.04,0.5,0.7,20,../dataset/kosarak/kosarak_increment_20K.txt,./outputs/kosarak/kosarak_20_0.04_0.5_0.7_kosarak.txt,62,13082,79.1619451046
