type_of_algo,minRF,minCS,maxOR,inpfile,outfile,data_read,patterns_checked,process_done
,,,,,,,,
cmine,0.075,0.5,0.7,./../dataset/bmspos/bmspos_1.0L.txt,././outputs/bmspos_0.075_0.5_0.7_bmspos_1.0L.txt,0.2587571144,18083,2887.94632101
cmine,0.075,0.5,0.7,./../dataset/bmspos/bmspos_1.05L.txt,././outputs/bmspos_0.075_0.5_0.7_bmspos_1.05L.txt,0.2412438393,18705,3161.682621
cmine,0.075,0.5,0.7,./../dataset/bmspos/bmspos_1.1L.txt,././outputs/bmspos_0.075_0.5_0.7_bmspos_1.1L.txt,0.2577588558,17944,3363.26225305
cmine,0.075,0.5,0.7,./../dataset/bmspos/bmspos_1.15L.txt,././outputs/bmspos_0.075_0.5_0.7_bmspos_1.15L.txt,0.3288481236,17904,3673.33528614
cmine,0.075,0.5,0.7,./../dataset/bmspos/bmspos_1.2L.txt,././outputs/bmspos_0.075_0.5_0.7_bmspos_1.2L.txt,0.2860600948,18146,4077.94879317
cmine,0.075,0.5,0.7,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.075_0.5_0.7_bmspos_1.25L.txt,0.3025240898,18836,4528.05752301
cmine,0.075,0.5,0.7,./../dataset/bmspos/bmspos_1.3L.txt,././outputs/bmspos_0.075_0.5_0.7_bmspos_1.3L.txt,0.3102910519,18903,3683.78086805
cmine,0.075,0.5,0.7,./../dataset/bmspos/bmspos_1.35L.txt,././outputs/bmspos_0.075_0.5_0.7_bmspos_1.35L.txt,0.3213119507,19228,3989.93141103
cmine,0.075,0.5,0.7,./../dataset/bmspos/bmspos_1.4L.txt,././outputs/bmspos_0.075_0.5_0.7_bmspos_1.4L.txt,0.3082919121,18911,4126.01438093
cmine,0.075,0.5,0.7,./../dataset/bmspos/bmspos_1.45L.txt,././outputs/bmspos_0.075_0.5_0.7_bmspos_1.45L.txt,0.3305580616,11793,2610.99811506
cmine,0.075,0.5,0.7,./../dataset/bmspos/bmspos_1.5L.txt,././outputs/bmspos_0.075_0.5_0.7_bmspos_1.5L.txt,0.3151431084,11827,2912.23019099
cmine,0.075,0.5,0.7,./../dataset/bmspos/bmspos_1.55L.txt,././outputs/bmspos_0.075_0.5_0.7_bmspos_1.55L.txt,0.3233318329,11944,3096.0904758
cmine,0.075,0.5,0.7,./../dataset/bmspos/bmspos_1.6L.txt,././outputs/bmspos_0.075_0.5_0.7_bmspos_1.6L.txt,0.333493948,18763,5287.91159296
cmine,0.075,0.5,0.7,./../dataset/bmspos/bmspos_1.65L.txt,././outputs/bmspos_0.075_0.5_0.7_bmspos_1.65L.txt,0.377202034,19190,5431.326648
cmine,0.075,0.5,0.7,./../dataset/bmspos/bmspos_1.7L.txt,././outputs/bmspos_0.075_0.5_0.7_bmspos_1.7L.txt,0.3625779152,19512,5816.11114097
cmine,0.075,0.5,0.7,./../dataset/bmspos/bmspos_1.75L.txt,././outputs/bmspos_0.075_0.5_0.7_bmspos_1.75L.txt,0.3625769615,12083,3666.64442205
cmine,0.075,0.5,0.7,./../dataset/bmspos/bmspos_1.8L.txt,././outputs/bmspos_0.075_0.5_0.7_bmspos_1.8L.txt,0.4518549442,12183,3848.89358187
cmine,0.075,0.5,0.7,./../dataset/bmspos/bmspos_1.85L.txt,././outputs/bmspos_0.075_0.5_0.7_bmspos_1.85L.txt,0.407171011,12416,4069.68452501
cmine,0.075,0.5,0.7,./../dataset/bmspos/bmspos_1.9L.txt,././outputs/bmspos_0.075_0.5_0.7_bmspos_1.9L.txt,0.4152297974,12487,4248.03682089
cmine,0.075,0.5,0.7,./../dataset/bmspos/bmspos_1.95L.txt,././outputs/bmspos_0.075_0.5_0.7_bmspos_1.95L.txt,0.4764940739,12394,4444.95336699
cmine,0.075,0.5,0.7,./../dataset/bmspos/bmspos_2.0L.txt,././outputs/bmspos_0.075_0.5_0.7_bmspos_2.0L.txt,0.4923610687,12379,4547.11206698
cmine,0.075,0.1,0.7,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.075_0.1_0.7_bmspos_1.25L.txt,0.35956788063,18836,3733.46281886
cmine,0.075,0.2,0.7,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.075_0.2_0.7_bmspos_1.25L.txt,0.30801486969,18836,4123.14931798
cmine,0.075,0.3,0.7,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.075_0.3_0.7_bmspos_1.25L.txt,0.293344020844,18836,4045.65503001
cmine,0.075,0.4,0.7,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.075_0.4_0.7_bmspos_1.25L.txt,0.290897846222,18836,3699.46753192
cmine,0.075,0.5,0.7,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.075_0.5_0.7_bmspos_1.25L.txt,0.291507959366,18836,3799.03221703
