type_of_algo,minRF,minCS,maxOR,inpfile,outfile,data_read,patterns_checked,process_done
cmine,0.035,0.5,0.05,./../dataset/cabs120k08/cabs120k08_125K.txt,././outputs/cabs120k08/cabs120k08_0.035_0.5_0.05_cabs120k08_150K.txt,0.146945953369,157,8.32836914062
cmine,0.035,0.5,0.1,./../dataset/cabs120k08/cabs120k08_125K.txt,././outputs/cabs120k08/cabs120k08_0.035_0.5_0.1_cabs120k08_150K.txt,0.15065407753,572,31.7177040577
cmine,0.035,0.5,0.15,./../dataset/cabs120k08/cabs120k08_125K.txt,././outputs/cabs120k08/cabs120k08_0.035_0.5_0.15_cabs120k08_150K.txt,0.146508932114,1528,87.2357490063
cmine,0.035,0.5,0.2,./../dataset/cabs120k08/cabs120k08_125K.txt,././outputs/cabs120k08/cabs120k08_0.035_0.5_0.2_cabs120k08_150K.txt,0.151651144028,3433,220.598955154
cmine,0.035,0.5,0.25,./../dataset/cabs120k08/cabs120k08_125K.txt,././outputs/cabs120k08/cabs120k08_0.035_0.5_0.25_cabs120k08_150K.txt,0.150643110275,6465,459.426679134
cmine,0.035,0.5,0.3,./../dataset/cabs120k08/cabs120k08_125K.txt,././outputs/cabs120k08/cabs120k08_0.035_0.5_0.3_cabs120k08_150K.txt,0.146061182022,10423,763.127381086
cmine,0.035,0.5,0.35,./../dataset/cabs120k08/cabs120k08_125K.txt,././outputs/cabs120k08/cabs120k08_0.035_0.5_0.35_cabs120k08_150K.txt,0.150159835815,15214,1106.17195988
cmine,0.035,0.5,0.4,./../dataset/cabs120k08/cabs120k08_125K.txt,././outputs/cabs120k08/cabs120k08_0.035_0.5_0.4_cabs120k08_150K.txt,0.156246185303,20152,1576.00328612
cmine,0.035,0.5,0.45,./../dataset/cabs120k08/cabs120k08_125K.txt,././outputs/cabs120k08/cabs120k08_0.035_0.5_0.45_cabs120k08_150K.txt,0.155230998993,25024,1831.07170606
cmine,0.035,0.5,0.5,./../dataset/cabs120k08/cabs120k08_125K.txt,././outputs/cabs120k08/cabs120k08_0.035_0.5_0.5_cabs120k08_150K.txt,0.156835079193,28993,2156.8739171
