type_of_algo,minRF,minCS,maxOR,inpfile,outfile,data_read,patterns_checked,process_done

cmine,0.02,0.5,0.1,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.02_0.5_0.1_kosarak_65K.txt,0.308272123337,807,24.016215086
cmine,0.02,0.5,0.2,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.02_0.5_0.2_kosarak_65K.txt,0.165010929108,3251,115.092227936
cmine,0.02,0.5,0.3,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.02_0.5_0.3_kosarak_65K.txt,0.173295974731,15575,650.738481998
cmine,0.02,0.5,0.4,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.02_0.5_0.4_kosarak_65K.txt,0.162188053131,68159,3197.70420909
cmine,0.02,0.5,0.5,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.02_0.5_0.5_kosarak_65K.txt,0.163235187531,249524,13611.1988392
cmine,0.025,0.5,0.1,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.025_0.5_0.1_kosarak_65K.txt,0.217116832733,216,6.54803991318
cmine,0.025,0.5,0.2,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.025_0.5_0.2_kosarak_65K.txt,0.164800167084,412,12.8480260372
cmine,0.025,0.5,0.3,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.025_0.5_0.3_kosarak_65K.txt,0.161880970001,960,32.7524960041
cmine,0.025,0.5,0.4,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.025_0.5_0.4_kosarak_65K.txt,0.162415027618,2112,78.4053301811
cmine,0.025,0.5,0.5,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.025_0.5_0.5_kosarak_65K.txt,0.16374206543,4089,158.73587203
cmine,0.025,0.5,0.6,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.025_0.5_0.6_kosarak_65K.txt,0.162546873093,7476,298.058769941
cmine,0.025,0.5,0.7,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.025_0.5_0.7_kosarak_65K.txt,0.163903951645,13034,524.833503008
cmine,0.025,0.5,0.8,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.025_0.5_0.8_kosarak_65K.txt,0.166032791138,23478,953.580097914
cmine,0.025,0.5,0.9,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.025_0.5_0.9_kosarak_65K.txt,0.172764062881,48856,1924.07041097
cmine,0.025,0.5,0.6,./../dataset/kosarak/kosarak_50K.txt,././outputs/kosarak/kosarak_0.025_0.5_0.6_kosarak_50K.txt,0.220355033875,11788,372.566453218
cmine,0.025,0.5,0.6,./../dataset/kosarak/kosarak_55K.txt,././outputs/kosarak/kosarak_0.025_0.5_0.6_kosarak_55K.txt,0.180859804153,7404,252.079607964
cmine,0.025,0.5,0.6,./../dataset/kosarak/kosarak_60K.txt,././outputs/kosarak/kosarak_0.025_0.5_0.6_kosarak_60K.txt,0.187767982483,7497,275.311105967
cmine,0.025,0.5,0.6,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.025_0.5_0.6_kosarak_65K.txt,0.163995981216,7476,298.78865099
cmine,0.025,0.5,0.6,./../dataset/kosarak/kosarak_70K.txt,././outputs/kosarak/kosarak_0.025_0.5_0.6_kosarak_70K.txt,0.262309789658,7506,323.682337999
cmine,0.025,0.5,0.6,./../dataset/kosarak/kosarak_75K.txt,././outputs/kosarak/kosarak_0.025_0.5_0.6_kosarak_75K.txt,0.203414201736,7542,347.019510984
cmine,0.025,0.5,0.6,./../dataset/kosarak/kosarak_80K.txt,././outputs/kosarak/kosarak_0.025_0.5_0.6_kosarak_80K.txt,0.261935949326,7518,369.319525003
cmine,0.025,0.5,0.6,./../dataset/kosarak/kosarak_85K.txt,././outputs/kosarak/kosarak_0.025_0.5_0.6_kosarak_85K.txt,0.279402971268,7512,395.502729893
cmine,0.025,0.5,0.6,./../dataset/kosarak/kosarak_90K.txt,././outputs/kosarak/kosarak_0.025_0.5_0.6_kosarak_90K.txt,0.294451951981,7564,421.309737921

cmine,0.03,0.5,0.1,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.1_kosarak_65K.txt,0.164915084839,180,5.32137989998
cmine,0.03,0.5,0.2,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.2_kosarak_65K.txt,0.162792921066,299,9.26737999916
cmine,0.03,0.5,0.3,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.3_kosarak_65K.txt,0.162708997726,624,20.9388039112
cmine,0.03,0.5,0.4,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.4_kosarak_65K.txt,0.163224935532,1235,43.5839509964
cmine,0.03,0.5,0.5,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.5_kosarak_65K.txt,0.163657903671,2255,82.7903618813
cmine,0.03,0.5,0.6,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.6_kosarak_65K.txt,0.161868095398,3975,153.302241087
cmine,0.03,0.5,0.7,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.7_kosarak_65K.txt,0.163212060928,6828,268.066768885
cmine,0.03,0.5,0.8,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.8_kosarak_65K.txt,0.16263794899,11951,463.757044077
cmine,0.03,0.5,0.9,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.9_kosarak_65K.txt,0.166265010834,24583,940.640187025
cmine,0.03,0.5,0.6,./../dataset/kosarak/kosarak_50K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.6_kosarak_50K.txt,0.130178928375,3896,113.948843956
cmine,0.03,0.5,0.6,./../dataset/kosarak/kosarak_55K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.6_kosarak_55K.txt,0.142084121704,3948,129.510879993
cmine,0.03,0.5,0.6,./../dataset/kosarak/kosarak_60K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.6_kosarak_60K.txt,0.152637004852,3995,139.60737896
cmine,0.03,0.5,0.6,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.6_kosarak_65K.txt,0.165742874146,3975,151.048068047
cmine,0.03,0.5,0.6,./../dataset/kosarak/kosarak_70K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.6_kosarak_70K.txt,0.174854040146,3991,163.501556873
cmine,0.03,0.5,0.6,./../dataset/kosarak/kosarak_75K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.6_kosarak_75K.txt,0.185970067978,4011,176.48089695
cmine,0.03,0.5,0.6,./../dataset/kosarak/kosarak_80K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.6_kosarak_80K.txt,0.200234174728,4011,188.069791079
cmine,0.03,0.5,0.6,./../dataset/kosarak/kosarak_85K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.6_kosarak_85K.txt,0.21200299263,3980,202.025980949
cmine,0.03,0.5,0.6,./../dataset/kosarak/kosarak_90K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.6_kosarak_90K.txt,0.227061986923,4008,213.991976023

cmine,0.035,0.5,0.1,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.1_kosarak_65K.txt,0.164883136749,97,2.88852119446
cmine,0.035,0.5,0.2,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.2_kosarak_65K.txt,0.163507938385,132,4.01489782333
