type_of_algo,minRF,minCS,maxOR,inpfile,outfile,data_read,patterns_checked,process_done
cmine,0.04,0.3,0.05,./../dataset/synthetic/synthetic_75K.txt,././outputs/synthetic/synthetic_0.04_0.3_0.05_synthetic_75K.txt,0.292146921158,1334,61.4779989719
cmine,0.04,0.3,0.1,./../dataset/synthetic/synthetic_75K.txt,././outputs/synthetic/synthetic_0.04_0.3_0.1_synthetic_75K.txt,0.205192089081,7559,410.705798149
cmine,0.04,0.3,0.15,./../dataset/synthetic/synthetic_75K.txt,././outputs/synthetic/synthetic_0.04_0.3_0.15_synthetic_75K.txt,0.191556930542,41171,2665.16176486
cmine,0.04,0.3,0.2,./../dataset/synthetic/synthetic_75K.txt,././outputs/synthetic/synthetic_0.04_0.3_0.2_synthetic_75K.txt,0.1880838871,180215,13809.379432
cmine,0.04,0.3,0.25,./../dataset/synthetic/synthetic_75K.txt,././outputs/synthetic/synthetic_0.04_0.3_0.25_synthetic_75K.txt,0.19020485878,695087,59861.4298389
cmine,0.0425,0.3,0.05,./../dataset/synthetic/synthetic_75K.txt,././outputs/synthetic/synthetic_0.0425_0.3_0.05_synthetic_75K.txt,0.313169956207,672,29.5495569706
cmine,0.0425,0.3,0.1,./../dataset/synthetic/synthetic_75K.txt,././outputs/synthetic/synthetic_0.0425_0.3_0.1_synthetic_75K.txt,0.180065155029,3183,167.750348091
cmine,0.0425,0.3,0.15,./../dataset/synthetic/synthetic_75K.txt,././outputs/synthetic/synthetic_0.0425_0.3_0.15_synthetic_75K.txt,0.203618049622,12764,790.728144884
cmine,0.0425,0.3,0.2,./../dataset/synthetic/synthetic_75K.txt,././outputs/synthetic/synthetic_0.0425_0.3_0.2_synthetic_75K.txt,0.183812141418,42179,3129.51310396
cmine,0.0425,0.3,0.25,./../dataset/synthetic/synthetic_75K.txt,././outputs/synthetic/synthetic_0.0425_0.3_0.25_synthetic_75K.txt,0.186670064926,126836,10437.1790872
cmine,0.0425,0.3,0.3,./../dataset/synthetic/synthetic_75K.txt,././outputs/synthetic/synthetic_0.0425_0.3_0.3_synthetic_75K.txt,0.194581985474,323563,29163.099869
cmine,0.0425,0.3,0.2,./../dataset/synthetic/synthetic_55K.txt,././outputs/synthetic/synthetic_0.0425_0.3_0.2_synthetic_55K.txt,0.192639112473,33797,1901.8377521
cmine,0.0425,0.3,0.2,./../dataset/synthetic/synthetic_60K.txt,././outputs/synthetic/synthetic_0.0425_0.3_0.2_synthetic_60K.txt,0.243547201157,33175,2006.92382121
cmine,0.0425,0.3,0.2,./../dataset/synthetic/synthetic_65K.txt,././outputs/synthetic/synthetic_0.0425_0.3_0.2_synthetic_65K.txt,0.262330055237,33973,2220.60273314
cmine,0.0425,0.3,0.2,./../dataset/synthetic/synthetic_70K.txt,././outputs/synthetic/synthetic_0.0425_0.3_0.2_synthetic_70K.txt,0.263382911682,33831,2318.01250982
cmine,0.0425,0.3,0.2,./../dataset/synthetic/synthetic_75K.txt,././outputs/synthetic/synthetic_0.0425_0.3_0.2_synthetic_75K.txt,0.207176923752,42179,3189.4770751
cmine,0.0425,0.3,0.2,./../dataset/synthetic/synthetic_80K.txt,././outputs/synthetic/synthetic_0.0425_0.3_0.2_synthetic_80K.txt,0.277101993561,32603,2510.69781804
cmine,0.0425,0.3,0.2,./../dataset/synthetic/synthetic_85K.txt,././outputs/synthetic/synthetic_0.0425_0.3_0.2_synthetic_85K.txt,0.484594106674,29839,2428.97652602
cmine,0.0425,0.3,0.2,./../dataset/synthetic/synthetic_90K.txt,././outputs/synthetic/synthetic_0.0425_0.3_0.2_synthetic_90K.txt,0.308054924011,23011,1956.40052414
cmine,0.0425,0.3,0.2,./../dataset/synthetic/synthetic_95K.txt,././outputs/synthetic/synthetic_0.0425_0.3_0.2_synthetic_95K.txt,0.326179027557,23429,2105.12970018
cmine,0.0425,0.3,0.2,./../dataset/synthetic/synthetic_100K.txt,././outputs/synthetic/synthetic_0.0425_0.3_0.2_synthetic_100K.txt,0.356343984604,30553,3020.55237794

cmine,0.045,0.3,0.05,./../dataset/synthetic/synthetic_75K.txt,././outputs/synthetic/synthetic_0.045_0.3_0.05_synthetic_75K.txt,0.193113088608,238,11.8705739975
cmine,0.045,0.3,0.1,./../dataset/synthetic/synthetic_75K.txt,././outputs/synthetic/synthetic_0.045_0.3_0.1_synthetic_75K.txt,0.214148044586,907,51.3575589657
cmine,0.045,0.3,0.15,./../dataset/synthetic/synthetic_75K.txt,././outputs/synthetic/synthetic_0.045_0.3_0.15_synthetic_75K.txt,0.191637992859,2609,152.094098091
cmine,0.045,0.3,0.2,./../dataset/synthetic/synthetic_75K.txt,././outputs/synthetic/synthetic_0.045_0.3_0.2_synthetic_75K.txt,0.209625005722,6261,410.810672998
cmine,0.045,0.3,0.25,./../dataset/synthetic/synthetic_75K.txt,././outputs/synthetic/synthetic_0.045_0.3_0.25_synthetic_75K.txt,0.196513175964,13185,1009.88124204
cmine,0.045,0.3,0.3,./../dataset/synthetic/synthetic_75K.txt,././outputs/synthetic/synthetic_0.045_0.3_0.3_synthetic_75K.txt,0.200242996216,24504,1766.93896103
cmine,0.045,0.3,0.2,./../dataset/synthetic/synthetic_55K.txt,././outputs/synthetic/synthetic_0.045_0.3_0.2_synthetic_55K.txt,0.179580926895,6473,277.948333979
cmine,0.045,0.3,0.2,./../dataset/synthetic/synthetic_60K.txt,././outputs/synthetic/synthetic_0.045_0.3_0.2_synthetic_60K.txt,0.210203886032,6411,299.154577971
cmine,0.045,0.3,0.2,./../dataset/synthetic/synthetic_65K.txt,././outputs/synthetic/synthetic_0.045_0.3_0.2_synthetic_65K.txt,0.212975025177,6390,321.780313015
cmine,0.045,0.3,0.2,./../dataset/synthetic/synthetic_70K.txt,././outputs/synthetic/synthetic_0.045_0.3_0.2_synthetic_70K.txt,0.240307092667,6464,350.742002964
cmine,0.045,0.3,0.2,./../dataset/synthetic/synthetic_75K.txt,././outputs/synthetic/synthetic_0.045_0.3_0.2_synthetic_75K.txt,0.179780006409,6261,369.887766838
cmine,0.045,0.3,0.2,./../dataset/synthetic/synthetic_80K.txt,././outputs/synthetic/synthetic_0.045_0.3_0.2_synthetic_80K.txt,0.189687013626,8078,509.639674902
cmine,0.045,0.3,0.2,./../dataset/synthetic/synthetic_85K.txt,././outputs/synthetic/synthetic_0.045_0.3_0.2_synthetic_85K.txt,0.21839594841,8064,541.521239042
cmine,0.045,0.3,0.2,./../dataset/synthetic/synthetic_90K.txt,././outputs/synthetic/synthetic_0.045_0.3_0.2_synthetic_90K.txt,0.214487075806,8140,569.396138906
cmine,0.045,0.3,0.2,./../dataset/synthetic/synthetic_95K.txt,././outputs/synthetic/synthetic_0.045_0.3_0.2_synthetic_95K.txt,0.235151052475,8177,618.735687017
cmine,0.045,0.3,0.2,./../dataset/synthetic/synthetic_100K.txt,././outputs/synthetic/synthetic_0.045_0.3_0.2_synthetic_100K.txt,0.246716022491,8168,649.286412001

cmine,0.0475,0.3,0.05,./../dataset/synthetic/synthetic_75K.txt,././outputs/synthetic/synthetic_0.0475_0.3_0.05_synthetic_75K.txt,0.178112030029,118,4.74829292297
cmine,0.0475,0.3,0.1,./../dataset/synthetic/synthetic_75K.txt,././outputs/synthetic/synthetic_0.0475_0.3_0.1_synthetic_75K.txt,0.176477909088,405,18.0821709633
cmine,0.0475,0.3,0.15,./../dataset/synthetic/synthetic_75K.txt,././outputs/synthetic/synthetic_0.0475_0.3_0.15_synthetic_75K.txt,0.195064067841,926,48.7360341549
cmine,0.0475,0.3,0.2,./../dataset/synthetic/synthetic_75K.txt,././outputs/synthetic/synthetic_0.0475_0.3_0.2_synthetic_75K.txt,0.17772603035,1807,99.9236040115
cmine,0.0475,0.3,0.25,./../dataset/synthetic/synthetic_75K.txt,././outputs/synthetic/synthetic_0.0475_0.3_0.25_synthetic_75K.txt,0.185611009598,3063,185.045295954
cmine,0.0475,0.3,0.3,./../dataset/synthetic/synthetic_75K.txt,././outputs/synthetic/synthetic_0.0475_0.3_0.3_synthetic_75K.txt,0.177223920822,4754,299.474387884
cmine,0.0475,0.3,0.2,./../dataset/synthetic/synthetic_55K.txt,././outputs/synthetic/synthetic_0.0475_0.3_0.2_synthetic_55K.txt,0.131305932999,1979,80.0889699459
cmine,0.0475,0.3,0.2,./../dataset/synthetic/synthetic_60K.txt,././outputs/synthetic/synthetic_0.0475_0.3_0.2_synthetic_60K.txt,0.158798933029,1869,86.944578886
cmine,0.0475,0.3,0.2,./../dataset/synthetic/synthetic_65K.txt,././outputs/synthetic/synthetic_0.0475_0.3_0.2_synthetic_65K.txt,0.155263900757,1885,92.5016589165
cmine,0.0475,0.3,0.2,./../dataset/synthetic/synthetic_70K.txt,././outputs/synthetic/synthetic_0.0475_0.3_0.2_synthetic_70K.txt,0.168239831924,1888,97.9568519592
cmine,0.0475,0.3,0.2,./../dataset/synthetic/synthetic_75K.txt,././outputs/synthetic/synthetic_0.0475_0.3_0.2_synthetic_75K.txt,0.1850938797,1807,98.9977519512
cmine,0.0475,0.3,0.2,./../dataset/synthetic/synthetic_80K.txt,././outputs/synthetic/synthetic_0.0475_0.3_0.2_synthetic_80K.txt,0.192451000214,1796,105.41594696
cmine,0.0475,0.3,0.2,./../dataset/synthetic/synthetic_85K.txt,././outputs/synthetic/synthetic_0.0475_0.3_0.2_synthetic_85K.txt,0.201506137848,1821,113.159794092
cmine,0.0475,0.3,0.2,./../dataset/synthetic/synthetic_90K.txt,././outputs/synthetic/synthetic_0.0475_0.3_0.2_synthetic_90K.txt,0.211654901505,1832,121.424146891
cmine,0.0475,0.3,0.2,./../dataset/synthetic/synthetic_95K.txt,././outputs/synthetic/synthetic_0.0475_0.3_0.2_synthetic_95K.txt,0.224215984344,1835,131.773704052
cmine,0.0475,0.3,0.2,./../dataset/synthetic/synthetic_100K.txt,././outputs/synthetic/synthetic_0.0475_0.3_0.2_synthetic_100K.txt,0.235816001892,1839,134.813398838

cmine,0.05,0.3,0.05,./../dataset/synthetic/synthetic_75K.txt,././outputs/synthetic/synthetic_0.05_0.3_0.05_synthetic_75K.txt,0.192010164261,93,4.00771594048
cmine,0.05,0.3,0.1,./../dataset/synthetic/synthetic_75K.txt,././outputs/synthetic/synthetic_0.05_0.3_0.1_synthetic_75K.txt,0.178230047226,304,13.7165892124
cmine,0.05,0.3,0.15,./../dataset/synthetic/synthetic_75K.txt,././outputs/synthetic/synthetic_0.05_0.3_0.15_synthetic_75K.txt,0.189579963684,652,32.7366709709
cmine,0.05,0.3,0.2,./../dataset/synthetic/synthetic_75K.txt,././outputs/synthetic/synthetic_0.05_0.3_0.2_synthetic_75K.txt,0.18085193634,1188,64.3557128906
cmine,0.05,0.3,0.25,./../dataset/synthetic/synthetic_75K.txt,././outputs/synthetic/synthetic_0.05_0.3_0.25_synthetic_75K.txt,0.176671028137,1875,110.807730913
cmine,0.05,0.3,0.3,./../dataset/synthetic/synthetic_75K.txt,././outputs/synthetic/synthetic_0.05_0.3_0.3_synthetic_75K.txt,0.17969918251,2725,165.316903114
cmine,0.05,0.3,0.2,./../dataset/synthetic/synthetic_55K.txt,././outputs/synthetic/synthetic_0.05_0.3_0.2_synthetic_55K.txt,0.131988048553,262,9.58190321922
cmine,0.05,0.3,0.2,./../dataset/synthetic/synthetic_60K.txt,././outputs/synthetic/synthetic_0.05_0.3_0.2_synthetic_60K.txt,0.154036998749,434,19.0456848145
cmine,0.05,0.3,0.2,./../dataset/synthetic/synthetic_65K.txt,././outputs/synthetic/synthetic_0.05_0.3_0.2_synthetic_65K.txt,0.167541980743,435,20.7597560883
cmine,0.05,0.3,0.2,./../dataset/synthetic/synthetic_70K.txt,././outputs/synthetic/synthetic_0.05_0.3_0.2_synthetic_70K.txt,0.165760993958,1214,61.0288841724
cmine,0.05,0.3,0.2,./../dataset/synthetic/synthetic_75K.txt,././outputs/synthetic/synthetic_0.05_0.3_0.2_synthetic_75K.txt,0.189550161362,1188,67.6504950523
