type_of_algo,minRF,minCS,maxOR,inpfile,outfile,data_read,patterns_checked,process_done
cmine,0.075,0.1,0.7,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.075_0.1_0.7_bmspos_new_1.25L.txt,0.225385904312,18836,1423.59218502
cmine,0.075,0.2,0.7,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.075_0.2_0.7_bmspos_new_1.25L.txt,0.248110055923,18836,1414.32561612
cmine,0.075,0.3,0.7,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.075_0.3_0.7_bmspos_new_1.25L.txt,0.236131906509,18836,1436.79975891
cmine,0.075,0.4,0.7,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.075_0.4_0.7_bmspos_new_1.25L.txt,0.275708913803,18836,1489.32490802
cmine,0.075,0.5,0.7,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.075_0.5_0.7_bmspos_new_1.25L.txt,0.227761030197,18836,1462.77273607
cmine,0.075,0.6,0.7,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.075_0.6_0.7_bmspos_new_1.25L.txt,0.24299120903,18836,1459.6882031
cmine,0.075,0.7,0.7,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.075_0.7_0.7_bmspos_new_1.25L.txt,0.233184099197,18836,1444.73740005
cmine,0.075,0.8,0.7,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.075_0.8_0.7_bmspos_new_1.25L.txt,0.234846115112,18836,1447.47897911
cmine,0.075,0.9,0.7,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.075_0.9_0.7_bmspos_new_1.25L.txt,0.224896907806,18836,1433.02240109
cmine,0.075,0.5,0.1,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.075_0.5_0.1_bmspos_new_1.25L.txt,0.239605903625,136,7.13842606544
cmine,0.075,0.5,0.2,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.075_0.5_0.2_bmspos_new_1.25L.txt,0.217621088028,183,9.27378797531
cmine,0.075,0.5,0.3,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.075_0.5_0.3_bmspos_new_1.25L.txt,0.220611095428,355,18.9298830032
cmine,0.075,0.5,0.4,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.075_0.5_0.4_bmspos_new_1.25L.txt,0.218422889709,928,52.7314419746
cmine,0.075,0.5,0.5,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.075_0.5_0.5_bmspos_new_1.25L.txt,0.219566106796,2254,139.577022076
cmine,0.075,0.5,0.6,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.075_0.5_0.6_bmspos_new_1.25L.txt,0.215419054031,6417,467.864605904
cmine,0.075,0.5,0.7,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.075_0.5_0.7_bmspos_new_1.25L.txt,0.231324911118,18836,1561.99778485
cmine,0.075,0.5,0.8,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.075_0.5_0.8_bmspos_new_1.25L.txt,0.229649066925,45450,3758.01023412
cmine,0.075,0.5,0.9,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.075_0.5_0.9_bmspos_new_1.25L.txt,0.215224981308,90001,7058.29176998
cmine,0.075,0.5,0.7,./../dataset/bmspos/bmspos_1.05L.txt,././outputs/bmspos_0.075_0.5_0.7_bmspos_new_1.05L.txt,0.26383805275,18705,1241.26962495
cmine,0.075,0.5,0.7,./../dataset/bmspos/bmspos_1.1L.txt,././outputs/bmspos_0.075_0.5_0.7_bmspos_new_1.1L.txt,0.232726097107,17944,1234.30655718
cmine,0.075,0.5,0.7,./../dataset/bmspos/bmspos_1.15L.txt,././outputs/bmspos_0.075_0.5_0.7_bmspos_new_1.15L.txt,0.291918992996,17904,1243.69172502
cmine,0.075,0.5,0.7,./../dataset/bmspos/bmspos_1.2L.txt,././outputs/bmspos_0.075_0.5_0.7_bmspos_new_1.2L.txt,0.262134075165,18146,1270.76700401
cmine,0.075,0.5,0.7,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.075_0.5_0.7_bmspos_new_1.25L.txt,0.238044023514,18836,1449.85372519
cmine,0.075,0.5,0.7,./../dataset/bmspos/bmspos_1.3L.txt,././outputs/bmspos_0.075_0.5_0.7_bmspos_new_1.3L.txt,0.302217006683,18903,1596.733217
cmine,0.075,0.5,0.7,./../dataset/bmspos/bmspos_1.35L.txt,././outputs/bmspos_0.075_0.5_0.7_bmspos_new_1.35L.txt,0.318853855133,19228,1605.97208595
cmine,0.075,0.5,0.7,./../dataset/bmspos/bmspos_1.4L.txt,././outputs/bmspos_0.075_0.5_0.7_bmspos_new_1.4L.txt,0.314399003983,18911,1683.09765196
cmine,0.075,0.5,0.7,./../dataset/bmspos/bmspos_1.45L.txt,././outputs/bmspos_0.075_0.5_0.7_bmspos_new_1.45L.txt,0.346886873245,11793,1077.72759795
cmine,0.075,0.5,0.7,./../dataset/bmspos/bmspos_1.5L.txt,././outputs/bmspos_0.075_0.5_0.7_bmspos_new_1.5L.txt,0.359900951385,11827,1089.99691892
