type_of_algo,minRF,minCS,maxOR,inpfile,outfile,data_read,patterns_checked,process_done
cmine,0.4,0.5,0.1,./../dataset/mushroom/mushroom_6.0K.txt,././outputs/mushroom_0.4_0.5_0.1_mushroom_6.0K.txt,0.0285739898682,231,1.05817103386
cmine,0.4,0.5,0.2,./../dataset/mushroom/mushroom_6.0K.txt,././outputs/mushroom_0.4_0.5_0.2_mushroom_6.0K.txt,0.0282130241394,231,1.06619691849
cmine,0.4,0.5,0.3,./../dataset/mushroom/mushroom_6.0K.txt,././outputs/mushroom_0.4_0.5_0.3_mushroom_6.0K.txt,0.0287590026855,231,1.06426978111
cmine,0.4,0.5,0.4,./../dataset/mushroom/mushroom_6.0K.txt,././outputs/mushroom_0.4_0.5_0.4_mushroom_6.0K.txt,0.0282180309296,236,1.08347201347
cmine,0.4,0.5,0.5,./../dataset/mushroom/mushroom_6.0K.txt,././outputs/mushroom_0.4_0.5_0.5_mushroom_6.0K.txt,0.0289640426636,266,1.25485801697
cmine,0.4,0.5,0.6,./../dataset/mushroom/mushroom_6.0K.txt,././outputs/mushroom_0.4_0.5_0.6_mushroom_6.0K.txt,0.0282301902771,373,1.77971816063
cmine,0.4,0.5,0.7,./../dataset/mushroom/mushroom_6.0K.txt,././outputs/mushroom_0.4_0.5_0.7_mushroom_6.0K.txt,0.0293381214142,564,2.8030769825
cmine,0.4,0.5,0.8,./../dataset/mushroom/mushroom_6.0K.txt,././outputs/mushroom_0.4_0.5_0.8_mushroom_6.0K.txt,0.0275721549988,936,4.67054104805
cmine,0.4,0.5,0.9,./../dataset/mushroom/mushroom_6.0K.txt,././outputs/mushroom_0.4_0.5_0.9_mushroom_6.0K.txt,0.0281090736389,1945,9.82240700722
cmine,0.4,0.5,0.5,./../dataset/mushroom/mushroom_4.4K.txt,././outputs/mushroom_0.4_0.5_0.5_mushroom_new_4.4K.txt,0.0218408107758,241,0.835734844208
cmine,0.4,0.5,0.5,./../dataset/mushroom/mushroom_4.8K.txt,././outputs/mushroom_0.4_0.5_0.5_mushroom_new_4.8K.txt,0.0238800048828,243,0.901489019394
