type_of_algo,minRF,minCS,maxOR,inpfile,outfile,data_read,patterns_checked,process_done
cmine,0.045,0.3,0.05,./../dataset/T10I4D100K/synthetic_75K.txt,././outputs/T10I4D100K_0.045_0.3_0.05_synthetic_75K.txt,0.2077889442,291,11.9759600163
cmine,0.045,0.3,0.1,./../dataset/T10I4D100K/synthetic_75K.txt,././outputs/T10I4D100K_0.045_0.3_0.1_synthetic_75K.txt,0.1756770611,1167,51.1114959717
cmine,0.045,0.3,0.15,./../dataset/T10I4D100K/synthetic_75K.txt,././outputs/T10I4D100K_0.045_0.3_0.15_synthetic_75K.txt,0.172631979,3452,173.929708004
cmine,0.045,0.3,0.2,./../dataset/T10I4D100K/synthetic_75K.txt,././outputs/T10I4D100K_0.045_0.3_0.2_synthetic_75K.txt,0.1874570847,8470,477.404785872
cmine,0.045,0.3,0.25,./../dataset/T10I4D100K/synthetic_75K.txt,././outputs/T10I4D100K_0.045_0.3_0.25_synthetic_75K.txt,0.1731779575,18793,1163.12708998
cmine,0.045,0.3,0.3,./../dataset/T10I4D100K/synthetic_75K.txt,././outputs/T10I4D100K_0.045_0.3_0.3_synthetic_75K.txt,0.1745998859,35970,2420.89759111
cmine,0.045,0.3,0.2,./../dataset/T10I4D100K/synthetic_50K.txt,././outputs/T10I4D100K_0.045_0.3_0.2_synthetic_new_50K.txt,0.1252448559,8398,314.983418941
cmine,0.045,0.3,0.2,./../dataset/T10I4D100K/synthetic_55K.txt,././outputs/T10I4D100K_0.045_0.3_0.2_synthetic_new_55K.txt,0.1621670723,8343,343.550414085
cmine,0.045,0.3,0.2,./../dataset/T10I4D100K/synthetic_60K.txt,././outputs/T10I4D100K_0.045_0.3_0.2_synthetic_new_60K.txt,0.1560928822,8367,383.601988792
cmine,0.045,0.3,0.2,./../dataset/T10I4D100K/synthetic_65K.txt,././outputs/T10I4D100K_0.045_0.3_0.2_synthetic_new_65K.txt,0.185600996,8419,403.767763853
cmine,0.045,0.3,0.2,./../dataset/T10I4D100K/synthetic_70K.txt,././outputs/T10I4D100K_0.045_0.3_0.2_synthetic_new_70K.txt,0.2172989845,8335,439.78490591
cmine,0.045,0.3,0.2,./../dataset/T10I4D100K/synthetic_75K.txt,././outputs/T10I4D100K_0.045_0.3_0.2_synthetic_new_75K.txt,0.1743350029,8470,473.166895151
cmine,0.045,0.3,0.2,./../dataset/T10I4D100K/synthetic_80K.txt,././outputs/T10I4D100K_0.045_0.3_0.2_synthetic_new_80K.txt,0.243366003,8343,509.021037102
cmine,0.045,0.3,0.2,./../dataset/T10I4D100K/synthetic_85K.txt,././outputs/T10I4D100K_0.045_0.3_0.2_synthetic_new_85K.txt,0.2255990505,8317,537.138396978
cmine,0.045,0.3,0.2,./../dataset/T10I4D100K/synthetic_90K.txt,././outputs/T10I4D100K_0.045_0.3_0.2_synthetic_new_90K.txt,0.2967231274,6444,425.330800056
cmine,0.045,0.3,0.2,./../dataset/T10I4D100K/synthetic_95K.txt,././outputs/T10I4D100K_0.045_0.3_0.2_synthetic_new_95K.txt,0.2489850521,6451,452.490617037
cmine,0.045,0.3,0.2,./../dataset/T10I4D100K/synthetic_100K.txt,././outputs/T10I4D100K_0.045_0.3_0.2_synthetic_new_100K.txt,0.2678120136,8168,620.776818037
cmine,0.0475,0.3,0.05,./../dataset/T10I4D100K/synthetic_75K.txt,././outputs/T10I4D100K_0.0475_0.3_0.05_synthetic_75K.txt,0.1747899055,118,4.5266458988
cmine,0.0475,0.3,0.1,./../dataset/T10I4D100K/synthetic_75K.txt,././outputs/T10I4D100K_0.0475_0.3_0.1_synthetic_75K.txt,0.1777739525,433,18.3988468647
cmine,0.0475,0.3,0.15,./../dataset/T10I4D100K/synthetic_75K.txt,././outputs/T10I4D100K_0.0475_0.3_0.15_synthetic_75K.txt,0.1729450226,1006,47.5306410789
cmine,0.0475,0.3,0.2,./../dataset/T10I4D100K/synthetic_75K.txt,././outputs/T10I4D100K_0.0475_0.3_0.2_synthetic_75K.txt,0.17385602,1980,106.28599
cmine,0.0475,0.3,0.25,./../dataset/T10I4D100K/synthetic_75K.txt,././outputs/T10I4D100K_0.0475_0.3_0.25_synthetic_75K.txt,0.1743478775,3413,201.168463945
cmine,0.0475,0.3,0.3,./../dataset/T10I4D100K/synthetic_75K.txt,././outputs/T10I4D100K_0.0475_0.3_0.3_synthetic_75K.txt,0.1730520725,5079,312.708641052
cmine,0.0475,0.3,0.2,./../dataset/T10I4D100K/synthetic_50K.txt,././outputs/T10I4D100K_0.0475_0.3_0.2_synthetic_new_50K.txt,0.1174180508,1932,66.5333678722
cmine,0.0475,0.3,0.2,./../dataset/T10I4D100K/synthetic_55K.txt,././outputs/T10I4D100K_0.0475_0.3_0.2_synthetic_new_55K.txt,0.1324958801,1901,79.7878348827
cmine,0.0475,0.3,0.2,./../dataset/T10I4D100K/synthetic_60K.txt,././outputs/T10I4D100K_0.0475_0.3_0.2_synthetic_new_60K.txt,0.1401910782,1899,79.6573560238
cmine,0.0475,0.3,0.2,./../dataset/T10I4D100K/synthetic_65K.txt,././outputs/T10I4D100K_0.0475_0.3_0.2_synthetic_new_65K.txt,0.1514937878,1905,88.4409627914
cmine,0.0475,0.3,0.2,./../dataset/T10I4D100K/synthetic_70K.txt,././outputs/T10I4D100K_0.0475_0.3_0.2_synthetic_new_70K.txt,0.1666300297,1903,92.2887630463
cmine,0.0475,0.3,0.2,./../dataset/T10I4D100K/synthetic_75K.txt,././outputs/T10I4D100K_0.0475_0.3_0.2_synthetic_new_75K.txt,0.1736869812,1980,104.946863174
cmine,0.0475,0.3,0.2,./../dataset/T10I4D100K/synthetic_80K.txt,././outputs/T10I4D100K_0.0475_0.3_0.2_synthetic_new_80K.txt,0.1858370304,1864,102.012223959
cmine,0.0475,0.3,0.2,./../dataset/T10I4D100K/synthetic_85K.txt,././outputs/T10I4D100K_0.0475_0.3_0.2_synthetic_new_85K.txt,0.1972630024,1873,112.623271942
cmine,0.0475,0.3,0.2,./../dataset/T10I4D100K/synthetic_90K.txt,././outputs/T10I4D100K_0.0475_0.3_0.2_synthetic_new_90K.txt,0.2091591358,1871,118.166887045
cmine,0.0475,0.3,0.2,./../dataset/T10I4D100K/synthetic_95K.txt,././outputs/T10I4D100K_0.0475_0.3_0.2_synthetic_new_95K.txt,0.2201471329,1853,122.554141998
cmine,0.0475,0.3,0.2,./../dataset/T10I4D100K/synthetic_100K.txt,././outputs/T10I4D100K_0.0475_0.3_0.2_synthetic_new_100K.txt,0.2315552235,1839,129.035027027
cmine,0.05,0.3,0.05,./../dataset/T10I4D100K/synthetic_75K.txt,././outputs/T10I4D100K_0.05_0.3_0.05_synthetic_75K.txt,0.1734800339,91,3.5145599842
cmine,0.05,0.3,0.1,./../dataset/T10I4D100K/synthetic_75K.txt,././outputs/T10I4D100K_0.05_0.3_0.1_synthetic_75K.txt,0.1739459038,319,13.5861258507
cmine,0.05,0.3,0.15,./../dataset/T10I4D100K/synthetic_75K.txt,././outputs/T10I4D100K_0.05_0.3_0.15_synthetic_75K.txt,0.1739618778,676,31.9582190514
cmine,0.05,0.3,0.2,./../dataset/T10I4D100K/synthetic_75K.txt,././outputs/T10I4D100K_0.05_0.3_0.2_synthetic_75K.txt,0.1736500263,1235,63.2047641277
cmine,0.05,0.3,0.25,./../dataset/T10I4D100K/synthetic_75K.txt,././outputs/T10I4D100K_0.05_0.3_0.25_synthetic_75K.txt,0.1736462116,2000,114.182013035
cmine,0.05,0.3,0.3,./../dataset/T10I4D100K/synthetic_75K.txt,././outputs/T10I4D100K_0.05_0.3_0.3_synthetic_75K.txt,0.1941120625,2822,165.825533867
cmine,0.05,0.3,0.2,./../dataset/T10I4D100K/synthetic_50K.txt,././outputs/T10I4D100K_0.05_0.3_0.2_synthetic_new_50K.txt,0.1171691418,315,10.1081271172
cmine,0.05,0.3,0.2,./../dataset/T10I4D100K/synthetic_55K.txt,././outputs/T10I4D100K_0.05_0.3_0.2_synthetic_new_55K.txt,0.1285641193,498,17.8799331188
cmine,0.05,0.3,0.2,./../dataset/T10I4D100K/synthetic_60K.txt,././outputs/T10I4D100K_0.05_0.3_0.2_synthetic_new_60K.txt,0.1459801197,493,19.8676221371
cmine,0.05,0.3,0.2,./../dataset/T10I4D100K/synthetic_65K.txt,././outputs/T10I4D100K_0.05_0.3_0.2_synthetic_new_65K.txt,0.1525640488,786,34.0489630699
cmine,0.05,0.3,0.2,./../dataset/T10I4D100K/synthetic_70K.txt,././outputs/T10I4D100K_0.05_0.3_0.2_synthetic_new_70K.txt,0.1633090973,784,36.4950320721
cmine,0.05,0.3,0.2,./../dataset/T10I4D100K/synthetic_75K.txt,././outputs/T10I4D100K_0.05_0.3_0.2_synthetic_new_75K.txt,0.1787600517,1235,62.6879701614
cmine,0.05,0.3,0.2,./../dataset/T10I4D100K/synthetic_80K.txt,././outputs/T10I4D100K_0.05_0.3_0.2_synthetic_new_80K.txt,0.1854400635,1232,71.0871441364
cmine,0.05,0.3,0.2,./../dataset/T10I4D100K/synthetic_85K.txt,././outputs/T10I4D100K_0.05_0.3_0.2_synthetic_new_85K.txt,0.2011761665,1233,72.6515481472
cmine,0.05,0.3,0.2,./../dataset/T10I4D100K/synthetic_90K.txt,././outputs/T10I4D100K_0.05_0.3_0.2_synthetic_new_90K.txt,0.2085621357,492,28.6551480293
cmine,0.05,0.3,0.2,./../dataset/T10I4D100K/synthetic_95K.txt,././outputs/T10I4D100K_0.05_0.3_0.2_synthetic_new_95K.txt,0.2201590538,489,30.7526230812
cmine,0.05,0.3,0.2,./../dataset/T10I4D100K/synthetic_100K.txt,././outputs/T10I4D100K_0.05_0.3_0.2_synthetic_new_100K.txt,0.2371919155,492,32.5062389374
cmine,0.0525,0.3,0.05,./../dataset/T10I4D100K/synthetic_75K.txt,././outputs/T10I4D100K_0.0525_0.3_0.05_synthetic_75K.txt,0.1740171909,29,1.3792030811
cmine,0.0525,0.3,0.1,./../dataset/T10I4D100K/synthetic_75K.txt,././outputs/T10I4D100K_0.0525_0.3_0.1_synthetic_75K.txt,0.1733210087,78,3.5081319809
cmine,0.0525,0.3,0.15,./../dataset/T10I4D100K/synthetic_75K.txt,././outputs/T10I4D100K_0.0525_0.3_0.15_synthetic_75K.txt,0.1730751991,120,5.6215200424
cmine,0.0525,0.3,0.2,./../dataset/T10I4D100K/synthetic_75K.txt,././outputs/T10I4D100K_0.0525_0.3_0.2_synthetic_75K.txt,0.1733489037,171,8.2626020908
cmine,0.0525,0.3,0.25,./../dataset/T10I4D100K/synthetic_75K.txt,././outputs/T10I4D100K_0.0525_0.3_0.25_synthetic_75K.txt,0.1754438877,220,11.5056190491
cmine,0.0525,0.3,0.3,./../dataset/T10I4D100K/synthetic_75K.txt,././outputs/T10I4D100K_0.0525_0.3_0.3_synthetic_75K.txt,0.173320055,241,12.4969511032
cmine,0.0525,0.3,0.2,./../dataset/T10I4D100K/synthetic_50K.txt,././outputs/T10I4D100K_0.0525_0.3_0.2_synthetic_new_50K.txt,0.1172459126,171,5.5274169445
cmine,0.0525,0.3,0.2,./../dataset/T10I4D100K/synthetic_55K.txt,././outputs/T10I4D100K_0.0525_0.3_0.2_synthetic_new_55K.txt,0.1354019642,171,6.0708348751
cmine,0.0525,0.3,0.2,./../dataset/T10I4D100K/synthetic_60K.txt,././outputs/T10I4D100K_0.0525_0.3_0.2_synthetic_new_60K.txt,0.1401348114,170,6.5923278332
cmine,0.0525,0.3,0.2,./../dataset/T10I4D100K/synthetic_65K.txt,././outputs/T10I4D100K_0.0525_0.3_0.2_synthetic_new_65K.txt,0.1514918804,171,7.1704010963
cmine,0.0525,0.3,0.2,./../dataset/T10I4D100K/synthetic_70K.txt,././outputs/T10I4D100K_0.0525_0.3_0.2_synthetic_new_70K.txt,0.1630020142,171,7.7789990902
cmine,0.0525,0.3,0.2,./../dataset/T10I4D100K/synthetic_75K.txt,././outputs/T10I4D100K_0.0525_0.3_0.2_synthetic_new_75K.txt,0.1727528572,171,8.2716329098
cmine,0.0525,0.3,0.2,./../dataset/T10I4D100K/synthetic_80K.txt,././outputs/T10I4D100K_0.0525_0.3_0.2_synthetic_new_80K.txt,0.1889221668,170,9.5126781464
cmine,0.0525,0.3,0.2,./../dataset/T10I4D100K/synthetic_85K.txt,././outputs/T10I4D100K_0.0525_0.3_0.2_synthetic_new_85K.txt,0.1965379715,172,9.4474890232
cmine,0.0525,0.3,0.2,./../dataset/T10I4D100K/synthetic_90K.txt,././outputs/T10I4D100K_0.0525_0.3_0.2_synthetic_new_90K.txt,0.2146968842,170,9.94146204
cmine,0.0525,0.3,0.2,./../dataset/T10I4D100K/synthetic_95K.txt,././outputs/T10I4D100K_0.0525_0.3_0.2_synthetic_new_95K.txt,0.2245459557,169,10.3500220776
cmine,0.0525,0.3,0.2,./../dataset/T10I4D100K/synthetic_100K.txt,././outputs/T10I4D100K_0.0525_0.3_0.2_synthetic_new_100K.txt,0.231553793,169,10.8887429237
cmine,0.055,0.3,0.05,./../dataset/T10I4D100K/synthetic_75K.txt,././outputs/T10I4D100K_0.055_0.3_0.05_synthetic_75K.txt,0.1741280556,15,0.871119976
cmine,0.055,0.3,0.1,./../dataset/T10I4D100K/synthetic_75K.txt,././outputs/T10I4D100K_0.055_0.3_0.1_synthetic_75K.txt,0.172990799,34,1.8522708416
cmine,0.055,0.3,0.15,./../dataset/T10I4D100K/synthetic_75K.txt,././outputs/T10I4D100K_0.055_0.3_0.15_synthetic_75K.txt,0.1734099388,41,2.3505330086
cmine,0.055,0.3,0.2,./../dataset/T10I4D100K/synthetic_75K.txt,././outputs/T10I4D100K_0.055_0.3_0.2_synthetic_75K.txt,0.1732540131,50,2.7874591351
cmine,0.055,0.3,0.25,./../dataset/T10I4D100K/synthetic_75K.txt,././outputs/T10I4D100K_0.055_0.3_0.25_synthetic_75K.txt,0.173197031,57,3.2831850052
cmine,0.055,0.3,0.3,./../dataset/T10I4D100K/synthetic_75K.txt,././outputs/T10I4D100K_0.055_0.3_0.3_synthetic_75K.txt,0.1731190681,57,3.3500180244
cmine,0.055,0.3,0.2,./../dataset/T10I4D100K/synthetic_50K.txt,././outputs/T10I4D100K_0.055_0.3_0.2_synthetic_new_50K.txt,0.1190180779,50,1.8630330563
