type_of_algo,minRF,minCS,maxOR,inpfile,outfile,data_read,patterns_checked,process_done
cmine,0.065,0.5,0.1,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.065_0.5_0.1_bmspos_final_1.25L.txt,0.273483991623,153,7.78134489059
cmine,0.065,0.5,0.2,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.065_0.5_0.2_bmspos_final_1.25L.txt,0.263054847717,223,13.5337939262
cmine,0.065,0.5,0.3,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.065_0.5_0.3_bmspos_final_1.25L.txt,0.271148920059,437,27.2731490135
cmine,0.065,0.5,0.4,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.065_0.5_0.4_bmspos_final_1.25L.txt,0.274966001511,1179,75.9161319733
cmine,0.065,0.5,0.5,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.065_0.5_0.5_bmspos_final_1.25L.txt,0.255760908127,3010,206.85092783
cmine,0.065,0.5,0.6,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.065_0.5_0.6_bmspos_final_1.25L.txt,0.255475997925,9022,651.307739019
cmine,0.065,0.5,0.1,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos/bmspos_0.065_0.5_0.1_bmspos_final_1.25L.txt,0.267452001572,153,8.03700518608
cmine,0.065,0.5,0.2,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos/bmspos_0.065_0.5_0.2_bmspos_final_1.25L.txt,0.25642490387,223,12.3815839291
cmine,0.065,0.5,0.3,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos/bmspos_0.065_0.5_0.3_bmspos_final_1.25L.txt,0.256998062134,437,25.9112610817
cmine,0.065,0.5,0.4,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos/bmspos_0.065_0.5_0.4_bmspos_final_1.25L.txt,0.240134954453,1179,70.6218008995
cmine,0.065,0.5,0.5,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos/bmspos_0.065_0.5_0.5_bmspos_final_1.25L.txt,0.26607298851,3010,220.25719595
cmine,0.065,0.5,0.6,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos/bmspos_0.065_0.5_0.6_bmspos_final_1.25L.txt,0.256208896637,9022,684.83495903
cmine,0.065,0.5,0.7,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos/bmspos_0.065_0.5_0.7_bmspos_final_1.25L.txt,0.257306814194,28769,2662.53020501
cmine,0.065,0.5,0.8,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos/bmspos_0.065_0.5_0.8_bmspos_final_1.25L.txt,0.242238044739,80620,7421.651721
cmine,0.065,0.5,0.9,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos/bmspos_0.065_0.5_0.9_bmspos_final_1.25L.txt,0.265441894531,163749,16220.973496
cmine,0.065,0.5,0.6,./../dataset/bmspos/bmspos_1.05L.txt,././outputs/bmspos/bmspos_0.065_0.5_0.6_bmspos_final_1.05L.txt,0.305402040482,13574,801.294936895
cmine,0.065,0.5,0.6,./../dataset/bmspos/bmspos_1.1L.txt,././outputs/bmspos/bmspos_0.065_0.5_0.6_bmspos_final_1.1L.txt,0.303021907806,17784,1178.17733884
cmine,0.065,0.5,0.6,./../dataset/bmspos/bmspos_1.15L.txt,././outputs/bmspos/bmspos_0.065_0.5_0.6_bmspos_final_1.15L.txt,0.284862041473,27761,2082.61755085
cmine,0.065,0.5,0.6,./../dataset/bmspos/bmspos_1.2L.txt,././outputs/bmspos/bmspos_0.065_0.5_0.6_bmspos_final_1.2L.txt,0.289573907852,8685,581.075068951
