type_of_algo,minRF,minCS,maxOR,increment,inpfile,outfile,candidate_old,candidate_new,process_done
cmine_increment,0.035,0.5,0.05,25,../dataset/cabs120k08/increment_25K.txt,./outputs/cabs120k08/cabs120k08_25_0.035_0.5_0.05_cabs120k08.txt,15,561,6.7441110611
cmine_increment,0.035,0.5,0.1,25,../dataset/cabs120k08/increment_25K.txt,./outputs/cabs120k08/cabs120k08_25_0.035_0.5_0.1_cabs120k08.txt,76,739,11.7437608242
cmine_increment,0.035,0.5,0.15,25,../dataset/cabs120k08/increment_25K.txt,./outputs/cabs120k08/cabs120k08_25_0.035_0.5_0.15_cabs120k08.txt,254,1080,27.4201190472
cmine_increment,0.035,0.5,0.2,25,../dataset/cabs120k08/increment_25K.txt,./outputs/cabs120k08/cabs120k08_25_0.035_0.5_0.2_cabs120k08.txt,675,1659,60.3824460506
cmine_increment,0.035,0.5,0.25,25,../dataset/cabs120k08/increment_25K.txt,./outputs/cabs120k08/cabs120k08_25_0.035_0.5_0.25_cabs120k08.txt,1383,2462,111.754563808
cmine_increment,0.035,0.5,0.3,25,../dataset/cabs120k08/increment_25K.txt,./outputs/cabs120k08/cabs120k08_25_0.035_0.5_0.3_cabs120k08.txt,2313,3459,196.671119928
cmine_increment,0.035,0.5,0.35,25,../dataset/cabs120k08/increment_25K.txt,./outputs/cabs120k08/cabs120k08_25_0.035_0.5_0.35_cabs120k08.txt,3455,4617,307.629024982
cmine_increment,0.035,0.5,0.4,25,../dataset/cabs120k08/increment_25K.txt,./outputs/cabs120k08/cabs120k08_25_0.035_0.5_0.4_cabs120k08.txt,4691,5739,415.548393011
cmine_increment,0.035,0.5,0.45,25,../dataset/cabs120k08/increment_25K.txt,./outputs/cabs120k08/cabs120k08_25_0.035_0.5_0.45_cabs120k08.txt,5912,6841,546.560218096
cmine_increment,0.035,0.5,0.5,25,../dataset/cabs120k08/increment_25K.txt,./outputs/cabs120k08/cabs120k08_25_0.035_0.5_0.5_cabs120k08.txt,7005,7775,601.187932014
cmine_increment,0.035,0.5,0.4,5,../dataset/cabs120k08/increment_5K.txt,./outputs/cabs120k08/cabs120k08_5_0.035_0.5_0.4_test_out.txt,229,1128,59.5225920677
cmine_increment,0.035,0.5,0.4,10,../dataset/cabs120k08/increment_10K.txt,./outputs/cabs120k08/cabs120k08_10_0.035_0.5_0.4_test_out.txt,4787,5724,303.131447792
cmine_increment,0.035,0.5,0.4,15,../dataset/cabs120k08/increment_15K.txt,./outputs/cabs120k08/cabs120k08_15_0.035_0.5_0.4_test_out.txt,4732,5738,331.171122074
cmine_increment,0.035,0.5,0.4,20,../dataset/cabs120k08/increment_20K.txt,./outputs/cabs120k08/cabs120k08_20_0.035_0.5_0.4_test_out.txt,4718,5736,380.993046999
cmine_increment,0.035,0.5,0.4,25,../dataset/cabs120k08/increment_25K.txt,./outputs/cabs120k08/cabs120k08_25_0.035_0.5_0.4_test_out.txt,4691,5739,415.983991861
cmine_increment,0.035,0.5,0.4,30,../dataset/cabs120k08/increment_30K.txt,./outputs/cabs120k08/cabs120k08_30_0.035_0.5_0.4_test_out.txt,4753,5792,453.969377041
cmine_increment,0.035,0.5,0.4,35,../dataset/cabs120k08/increment_35K.txt,./outputs/cabs120k08/cabs120k08_35_0.035_0.5_0.4_test_out.txt,89,963,153.016331911
cmine_increment,0.035,0.5,0.4,40,../dataset/cabs120k08/increment_40K.txt,./outputs/cabs120k08/cabs120k08_40_0.035_0.5_0.4_test_out.txt,278,1116,185.698142052
cmine_increment,0.035,0.5,0.4,45,../dataset/cabs120k08/increment_45K.txt,./outputs/cabs120k08/cabs120k08_45_0.035_0.5_0.4_test_out.txt,260,1111,199.308095932
cmine_increment,0.035,0.5,0.4,50,../dataset/cabs120k08/increment_50K.txt,./outputs/cabs120k08/cabs120k08_50_0.035_0.5_0.4_test_out.txt,270,1115,222.539650917
cmine_increment,0.035,0.5,0.4,55,../dataset/cabs120k08/increment_55K.txt,./outputs/cabs120k08/cabs120k08_55_0.035_0.5_0.4_test_out.txt,264,1121,240.808944941
cmine_increment,0.035,0.5,0.4,60,../dataset/cabs120k08/increment_60K.txt,./outputs/cabs120k08/cabs120k08_60_0.035_0.5_0.4_test_out.txt,302,1175,264.045722961
cmine_increment,0.035,0.5,0.4,65,../dataset/cabs120k08/increment_65K.txt,./outputs/cabs120k08/cabs120k08_65_0.035_0.5_0.4_test_out.txt,273,1140,280.486055136
cmine_increment,0.035,0.5,0.4,70,../dataset/cabs120k08/increment_70K.txt,./outputs/cabs120k08/cabs120k08_70_0.035_0.5_0.4_test_out.txt,292,1163,317.220102072
