type_of_algo,minRF,minCS,maxOR,increment,inpfile,outfile,candidate_old,candidate_new,process_done
cmine_increment,0.065,0.5,0.1,25,../dataset/bmspos_1L/increment_25K.txt,./outputs/bmspos/bmspos_25_0.065_0.5_0.1_test_out.txt,4,1210,9.465793
cmine_increment,0.065,0.5,0.2,25,../dataset/bmspos_1L/increment_25K.txt,./outputs/bmspos/bmspos_25_0.065_0.5_0.2_test_out.txt,22,1247,10.773579
cmine_increment,0.065,0.5,0.3,25,../dataset/bmspos_1L/increment_25K.txt,./outputs/bmspos/bmspos_25_0.065_0.5_0.3_test_out.txt,71,1380,14.580935
cmine_increment,0.065,0.5,0.4,25,../dataset/bmspos_1L/increment_25K.txt,./outputs/bmspos/bmspos_25_0.065_0.5_0.4_test_out.txt,238,1838,27.73352
cmine_increment,0.065,0.5,0.5,25,../dataset/bmspos_1L/increment_25K.txt,./outputs/bmspos/bmspos_25_0.065_0.5_0.5_test_out.txt,700,2697,65.650459
cmine_increment,0.065,0.5,0.6,25,../dataset/bmspos_1L/increment_25K.txt,./outputs/bmspos/bmspos_25_0.065_0.5_0.6_test_out.txt,2403,5216,211.357089
cmine_increment,0.065,0.5,0.7,25,../dataset/bmspos_1L/increment_25K.txt,./outputs/bmspos/bmspos_25_0.065_0.5_0.7_test_out.txt,7725,11354,701.990593
cmine_increment,0.065,0.5,0.8,25,../dataset/bmspos_1L/increment_25K.txt,./outputs/bmspos/bmspos_25_0.065_0.5_0.8_test_out.txt,15493,17909,2287.978005
cmine_increment,0.065,0.5,0.9,25,../dataset/bmspos_1L/increment_25K.txt,./outputs/bmspos/bmspos_25_0.065_0.5_0.9_test_out.txt,22103,23734,4494.270235
cmine_increment,0.065,0.5,0.6,5,../dataset/bmspos_1L/increment_5K.txt,./outputs/bmspos/bmspos_5_0.065_0.5_0.6_test_out.txt,5378,6367,282.784714
cmine_increment,0.065,0.5,0.6,10,../dataset/bmspos_1L/increment_10K.txt,./outputs/bmspos/bmspos_10_0.065_0.5_0.6_test_out.txt,7260,10979,429.309399
cmine_increment,0.065,0.5,0.6,15,../dataset/bmspos_1L/increment_15K.txt,./outputs/bmspos/bmspos_15_0.065_0.5_0.6_test_out.txt,17374,21407,1152.580029
cmine_increment,0.065,0.5,0.6,20,../dataset/bmspos_1L/increment_20K.txt,./outputs/bmspos/bmspos_20_0.065_0.5_0.6_test_out.txt,1573,4905,156.31404
cmine_increment,0.065,0.5,0.6,25,../dataset/bmspos_1L/increment_25K.txt,./outputs/bmspos/bmspos_25_0.065_0.5_0.6_test_out.txt,2403,5216,211.202585
cmine_increment,0.065,0.5,0.6,30,../dataset/bmspos_1L/increment_30K.txt,./outputs/bmspos/bmspos_30_0.065_0.5_0.6_test_out.txt,5861,8699,444.763342
cmine_increment,0.065,0.5,0.6,35,../dataset/bmspos_1L/increment_35K.txt,./outputs/bmspos/bmspos_35_0.065_0.5_0.6_test_out.txt,2114,4456,199.287363
cmine_increment,0.065,0.5,0.6,40,../dataset/bmspos_1L/increment_40K.txt,./outputs/bmspos/bmspos_40_0.065_0.5_0.6_test_out.txt,1766,4088,197.120275
cmine_increment,0.065,0.5,0.6,45,../dataset/bmspos_1L/increment_45K.txt,./outputs/bmspos/bmspos_45_0.065_0.5_0.6_test_out.txt,1955,4193,220.375623
cmine_increment,0.065,0.5,0.6,50,../dataset/bmspos_1L/increment_50K.txt,./outputs/bmspos/bmspos_50_0.065_0.5_0.6_test_out.txt,1936,4268,236.419056
cmine_increment,0.065,0.5,0.6,55,../dataset/bmspos_1L/increment_55K.txt,./outputs/bmspos/bmspos_55_0.065_0.5_0.6_test_out.txt,2264,4469,268.631528
cmine_increment,0.065,0.5,0.6,60,../dataset/bmspos_1L/increment_60K.txt,./outputs/bmspos/bmspos_60_0.065_0.5_0.6_test_out.txt,1609,4211,249.103314
cmine_increment,0.065,0.5,0.6,65,../dataset/bmspos_1L/increment_65K.txt,./outputs/bmspos/bmspos_65_0.065_0.5_0.6_test_out.txt,1834,4319,280.727067
cmine_increment,0.065,0.5,0.6,70,../dataset/bmspos_1L/increment_70K.txt,./outputs/bmspos/bmspos_70_0.065_0.5_0.6_test_out.txt,2043,4453,310.547081
cmine_increment,0.065,0.5,0.6,75,../dataset/bmspos_1L/increment_75K.txt,./outputs/bmspos/bmspos_75_0.065_0.5_0.6_test_out.txt,2199,4573,357.546704
cmine_increment,0.065,0.5,0.6,80,../dataset/bmspos_1L/increment_80K.txt,./outputs/bmspos/bmspos_80_0.065_0.5_0.6_test_out.txt,2153,4599,360.139776
cmine_increment,0.065,0.5,0.6,85,../dataset/bmspos_1L/increment_85K.txt,./outputs/bmspos/bmspos_85_0.065_0.5_0.6_test_out.txt,2448,4801,394.637327
cmine_increment,0.065,0.5,0.6,90,../dataset/bmspos_1L/increment_90K.txt,./outputs/bmspos/bmspos_90_0.065_0.5_0.6_test_out.txt,2468,4844,416.116629
cmine_increment,0.065,0.5,0.6,95,../dataset/bmspos_1L/increment_95K.txt,./outputs/bmspos/bmspos_95_0.065_0.5_0.6_test_out.txt,2259,4773,422.179292
cmine_increment,0.065,0.5,0.6,100,../dataset/bmspos_1L/increment_100K.txt,./outputs/bmspos/bmspos_100_0.065_0.5_0.6_test_out.txt,2180,4778,431.27913
