type_of_algo,minRF,minCS,maxOR,increment,inpfile,outfile,candidate_old,candidate_new,process_done
cmine_increment,0.055,0.5,0.05,25,../dataset/cabs120k08/increment_25K.txt,./outputs/cabs120k08/cabs120k08_25_0.055_0.5_0.05_cabs120k08.txt,0,479,4.51564502716
cmine_increment,0.055,0.5,0.1,25,../dataset/cabs120k08/increment_25K.txt,./outputs/cabs120k08/cabs120k08_25_0.055_0.5_0.1_cabs120k08.txt,1,479,4.78448295593
cmine_increment,0.055,0.5,0.15,25,../dataset/cabs120k08/increment_25K.txt,./outputs/cabs120k08/cabs120k08_25_0.055_0.5_0.15_cabs120k08.txt,3,477,4.99170804024
cmine_increment,0.055,0.5,0.2,25,../dataset/cabs120k08/increment_25K.txt,./outputs/cabs120k08/cabs120k08_25_0.055_0.5_0.2_cabs120k08.txt,1,466,5.31807899475
cmine_increment,0.055,0.5,0.25,25,../dataset/cabs120k08/increment_25K.txt,./outputs/cabs120k08/cabs120k08_25_0.055_0.5_0.25_cabs120k08.txt,4,471,5.5514190197
cmine_increment,0.055,0.5,0.3,25,../dataset/cabs120k08/increment_25K.txt,./outputs/cabs120k08/cabs120k08_25_0.055_0.5_0.3_cabs120k08.txt,2,466,5.8724861145
cmine_increment,0.055,0.5,0.35,25,../dataset/cabs120k08/increment_25K.txt,./outputs/cabs120k08/cabs120k08_25_0.055_0.5_0.35_cabs120k08.txt,0,464,6.14796209335
cmine_increment,0.055,0.5,0.4,25,../dataset/cabs120k08/increment_25K.txt,./outputs/cabs120k08/cabs120k08_25_0.055_0.5_0.4_cabs120k08.txt,1,460,6.10085511208
cmine_increment,0.055,0.5,0.45,25,../dataset/cabs120k08/increment_25K.txt,./outputs/cabs120k08/cabs120k08_25_0.055_0.5_0.45_cabs120k08.txt,0,455,6.47582602501
cmine_increment,0.055,0.5,0.5,25,../dataset/cabs120k08/increment_25K.txt,./outputs/cabs120k08/cabs120k08_25_0.055_0.5_0.5_cabs120k08.txt,0,452,6.41169595718
cmine_increment,0.055,0.5,0.4,5,../dataset/cabs120k08/increment_5K.txt,./outputs/cabs120k08/cabs120k08_5_0.055_0.5_0.4_test_out.txt,3,369,4.1822450161
cmine_increment,0.055,0.5,0.4,10,../dataset/cabs120k08/increment_10K.txt,./outputs/cabs120k08/cabs120k08_10_0.055_0.5_0.4_test_out.txt,0,409,4.74663686752
cmine_increment,0.055,0.5,0.4,15,../dataset/cabs120k08/increment_15K.txt,./outputs/cabs120k08/cabs120k08_15_0.055_0.5_0.4_test_out.txt,1,428,5.196215868
cmine_increment,0.055,0.5,0.4,20,../dataset/cabs120k08/increment_20K.txt,./outputs/cabs120k08/cabs120k08_20_0.055_0.5_0.4_test_out.txt,1,443,5.81379699707
cmine_increment,0.055,0.5,0.4,25,../dataset/cabs120k08/increment_25K.txt,./outputs/cabs120k08/cabs120k08_25_0.055_0.5_0.4_test_out.txt,1,460,6.25671195984
cmine_increment,0.055,0.5,0.4,30,../dataset/cabs120k08/increment_30K.txt,./outputs/cabs120k08/cabs120k08_30_0.055_0.5_0.4_test_out.txt,0,475,6.70741200447
cmine_increment,0.055,0.5,0.4,35,../dataset/cabs120k08/increment_35K.txt,./outputs/cabs120k08/cabs120k08_35_0.055_0.5_0.4_test_out.txt,0,484,7.39155387878
cmine_increment,0.055,0.5,0.4,40,../dataset/cabs120k08/increment_40K.txt,./outputs/cabs120k08/cabs120k08_40_0.055_0.5_0.4_test_out.txt,0,488,7.57151508331
cmine_increment,0.055,0.5,0.4,45,../dataset/cabs120k08/increment_45K.txt,./outputs/cabs120k08/cabs120k08_45_0.055_0.5_0.4_test_out.txt,1,491,8.41054391861
cmine_increment,0.055,0.5,0.4,50,../dataset/cabs120k08/increment_50K.txt,./outputs/cabs120k08/cabs120k08_50_0.055_0.5_0.4_test_out.txt,1,494,8.52980709076
cmine_increment,0.055,0.5,0.4,55,../dataset/cabs120k08/increment_55K.txt,./outputs/cabs120k08/cabs120k08_55_0.055_0.5_0.4_test_out.txt,1,501,9.33352518082
cmine_increment,0.055,0.5,0.4,60,../dataset/cabs120k08/increment_60K.txt,./outputs/cabs120k08/cabs120k08_60_0.055_0.5_0.4_test_out.txt,2,510,9.61457705498
cmine_increment,0.055,0.5,0.4,65,../dataset/cabs120k08/increment_65K.txt,./outputs/cabs120k08/cabs120k08_65_0.055_0.5_0.4_test_out.txt,1,508,10.3094739914
cmine_increment,0.055,0.5,0.4,70,../dataset/cabs120k08/increment_70K.txt,./outputs/cabs120k08/cabs120k08_70_0.055_0.5_0.4_test_out.txt,1,513,10.4017989635
cmine_increment,0.055,0.5,0.4,75,../dataset/cabs120k08/increment_75K.txt,./outputs/cabs120k08/cabs120k08_75_0.055_0.5_0.4_test_out.txt,2,520,11.5847821236
cmine_increment,0.055,0.5,0.4,80,../dataset/cabs120k08/increment_80K.txt,./outputs/cabs120k08/cabs120k08_80_0.055_0.5_0.4_test_out.txt,2,524,11.5272059441
cmine_increment,0.055,0.5,0.4,85,../dataset/cabs120k08/increment_85K.txt,./outputs/cabs120k08/cabs120k08_85_0.055_0.5_0.4_test_out.txt,2,527,12.8035640717
cmine_increment,0.055,0.5,0.4,90,../dataset/cabs120k08/increment_90K.txt,./outputs/cabs120k08/cabs120k08_90_0.055_0.5_0.4_test_out.txt,2,528,12.5124390125
cmine_increment,0.055,0.5,0.4,95,../dataset/cabs120k08/increment_95K.txt,./outputs/cabs120k08/cabs120k08_95_0.055_0.5_0.4_test_out.txt,2,528,13.4870169163
cmine_increment,0.055,0.5,0.4,100,../dataset/cabs120k08/increment_100K.txt,./outputs/cabs120k08/cabs120k08_100_0.055_0.5_0.4_test_out.txt,2,528,14.0358860493
