type_of_algo,minRF,minCS,maxOR,increment,inpfile,outfile,candidate_old,candidate_new,process_done
cmine_increment,0.055,0.5,0.1,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.055_0.5_0.1_kosarak.txt,0,14546,136.370710135
cmine_increment,0.055,0.5,0.2,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.055_0.5_0.2_kosarak.txt,1,14542,136.938323975
cmine_increment,0.055,0.5,0.3,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.055_0.5_0.3_kosarak.txt,0,14537,139.585474968
cmine_increment,0.055,0.5,0.4,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.055_0.5_0.4_kosarak.txt,1,14535,138.986253023
cmine_increment,0.055,0.5,0.5,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.055_0.5_0.5_kosarak.txt,6,14554,138.845890999
cmine_increment,0.055,0.5,0.6,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.055_0.5_0.6_kosarak.txt,3,14538,135.267961979
cmine_increment,0.055,0.5,0.7,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.055_0.5_0.7_kosarak.txt,5,14538,135.856304884
cmine_increment,0.055,0.5,0.8,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.055_0.5_0.8_kosarak.txt,5,14530,138.875531912
cmine_increment,0.055,0.5,0.9,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.055_0.5_0.9_kosarak.txt,25,14543,142.538275003
cmine_increment,0.055,0.5,0.6,5,../dataset/kosarak/kosarak_increment_5K.txt,./outputs/kosarak/kosarak_5_0.055_0.5_0.6_test_out.txt,2,6905,76.0387408733
cmine_increment,0.055,0.5,0.6,10,../dataset/kosarak/kosarak_increment_10K.txt,./outputs/kosarak/kosarak_10_0.055_0.5_0.6_test_out.txt,2,9805,96.8723640442
cmine_increment,0.055,0.5,0.6,15,../dataset/kosarak/kosarak_increment_15K.txt,./outputs/kosarak/kosarak_15_0.055_0.5_0.6_test_out.txt,2,12012,114.285661936
cmine_increment,0.055,0.5,0.6,20,../dataset/kosarak/kosarak_increment_20K.txt,./outputs/kosarak/kosarak_20_0.055_0.5_0.6_test_out.txt,2,13361,127.980067968
cmine_increment,0.055,0.5,0.6,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.055_0.5_0.6_test_out.txt,3,14538,136.039781809
cmine_increment,0.055,0.5,0.6,30,../dataset/kosarak/kosarak_increment_30K.txt,./outputs/kosarak/kosarak_30_0.055_0.5_0.6_test_out.txt,2,15623,150.703874111
cmine_increment,0.055,0.5,0.6,35,../dataset/kosarak/kosarak_increment_35K.txt,./outputs/kosarak/kosarak_35_0.055_0.5_0.6_test_out.txt,3,16566,168.99774313
cmine_increment,0.055,0.5,0.6,40,../dataset/kosarak/kosarak_increment_40K.txt,./outputs/kosarak/kosarak_40_0.055_0.5_0.6_test_out.txt,3,17436,176.791321039
cmine_increment,0.055,0.5,0.6,45,../dataset/kosarak/kosarak_increment_45K.txt,./outputs/kosarak/kosarak_45_0.055_0.5_0.6_test_out.txt,3,18212,201.197598934
cmine_increment,0.055,0.5,0.6,50,../dataset/kosarak/kosarak_increment_50K.txt,./outputs/kosarak/kosarak_50_0.055_0.5_0.6_test_out.txt,3,18931,214.638809919
cmine_increment,0.055,0.5,0.6,55,../dataset/kosarak/kosarak_increment_55K.txt,./outputs/kosarak/kosarak_55_0.055_0.5_0.6_test_out.txt,3,19491,226.218655109
cmine_increment,0.055,0.5,0.6,60,../dataset/kosarak/kosarak_increment_60K.txt,./outputs/kosarak/kosarak_60_0.055_0.5_0.6_test_out.txt,3,20068,224.257668018
cmine_increment,0.055,0.5,0.6,65,../dataset/kosarak/kosarak_increment_65K.txt,./outputs/kosarak/kosarak_65_0.055_0.5_0.6_test_out.txt,3,20584,244.768115997
cmine_increment,0.055,0.5,0.6,70,../dataset/kosarak/kosarak_increment_70K.txt,./outputs/kosarak/kosarak_70_0.055_0.5_0.6_test_out.txt,3,21130,252.524867058
cmine_increment,0.055,0.5,0.6,75,../dataset/kosarak/kosarak_increment_75K.txt,./outputs/kosarak/kosarak_75_0.055_0.5_0.6_test_out.txt,3,22036,378.304675817
cmine_increment,0.055,0.5,0.6,80,../dataset/kosarak/kosarak_increment_80K.txt,./outputs/kosarak/kosarak_80_0.055_0.5_0.6_test_out.txt,3,22454,374.733016968
cmine_increment,0.055,0.5,0.6,85,../dataset/kosarak/kosarak_increment_85K.txt,./outputs/kosarak/kosarak_85_0.055_0.5_0.6_test_out.txt,3,22832,383.245814085
cmine_increment,0.055,0.5,0.6,90,../dataset/kosarak/kosarak_increment_90K.txt,./outputs/kosarak/kosarak_90_0.055_0.5_0.6_test_out.txt,3,23166,402.375763893
cmine_increment,0.055,0.5,0.6,95,../dataset/kosarak/kosarak_increment_95K.txt,./outputs/kosarak/kosarak_95_0.055_0.5_0.6_test_out.txt,3,23614,414.296819925
cmine_increment,0.055,0.5,0.6,100,../dataset/kosarak/kosarak_increment_100K.txt,./outputs/kosarak/kosarak_100_0.055_0.5_0.6_test_out.txt,3,23949,424.235090971
