type_of_algo,minRF,minCS,maxOR,inpfile,outfile,data_read,patterns_checked,process_done
cmine,0.055,0.5,0.1,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.055_0.5_0.1_kosarak_125K.txt,0.3157799244,50,3.1682658196
cmine,0.055,0.5,0.2,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.055_0.5_0.2_kosarak_125K.txt,0.311024189,58,3.6743550301
cmine,0.055,0.5,0.3,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.055_0.5_0.3_kosarak_125K.txt,0.3165340424,69,4.5003430843
cmine,0.055,0.5,0.4,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.055_0.5_0.4_kosarak_125K.txt,0.3231389523,82,5.8177750111
cmine,0.055,0.5,0.5,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.055_0.5_0.5_kosarak_125K.txt,0.3130099773,125,7.9942131043
cmine,0.055,0.5,0.6,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.055_0.5_0.6_kosarak_125K.txt,0.2961380482,157,10.8141191006
cmine,0.055,0.5,0.7,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.055_0.5_0.7_kosarak_125K.txt,0.3126289845,221,14.5097229481
cmine,0.055,0.5,0.8,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.055_0.5_0.8_kosarak_125K.txt,0.3229718208,268,16.801846981
cmine,0.055,0.5,0.9,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.055_0.5_0.9_kosarak_125K.txt,0.3073260784,503,30.7801101208
cmine,0.055,0.5,0.6,./../dataset/kosarak/kosarak_105K.txt,././outputs/kosarak/kosarak_0.055_0.5_0.6_kosarak_105K.txt,0.2729420662,156,8.3072161675
cmine,0.055,0.5,0.6,./../dataset/kosarak/kosarak_110K.txt,././outputs/kosarak/kosarak_0.055_0.5_0.6_kosarak_110K.txt,0.2650589943,157,9.2746760845
cmine,0.055,0.5,0.6,./../dataset/kosarak/kosarak_115K.txt,././outputs/kosarak/kosarak_0.055_0.5_0.6_kosarak_115K.txt,0.2870321274,157,9.1870069504
cmine,0.055,0.5,0.6,./../dataset/kosarak/kosarak_120K.txt,././outputs/kosarak/kosarak_0.055_0.5_0.6_kosarak_120K.txt,0.2978200912,157,9.6140949726
cmine,0.055,0.5,0.6,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.055_0.5_0.6_kosarak_125K.txt,0.3082690239,157,9.9678370953
cmine,0.055,0.5,0.6,./../dataset/kosarak/kosarak_130K.txt,././outputs/kosarak/kosarak_0.055_0.5_0.6_kosarak_130K.txt,0.3200259209,157,10.366519928
cmine,0.055,0.5,0.6,./../dataset/kosarak/kosarak_135K.txt,././outputs/kosarak/kosarak_0.055_0.5_0.6_kosarak_135K.txt,0.3316171169,160,10.9193589687
cmine,0.055,0.5,0.6,./../dataset/kosarak/kosarak_140K.txt,././outputs/kosarak/kosarak_0.055_0.5_0.6_kosarak_140K.txt,0.3423120975,160,11.4086060524
cmine,0.055,0.5,0.6,./../dataset/kosarak/kosarak_145K.txt,././outputs/kosarak/kosarak_0.055_0.5_0.6_kosarak_145K.txt,0.353675127,160,11.8578851223
cmine,0.055,0.5,0.6,./../dataset/kosarak/kosarak_150K.txt,././outputs/kosarak/kosarak_0.055_0.5_0.6_kosarak_150K.txt,0.3644430637,160,12.1709039211
cmine,0.055,0.5,0.6,./../dataset/kosarak/kosarak_155K.txt,././outputs/kosarak/kosarak_0.055_0.5_0.6_kosarak_155K.txt,0.3735530376,160,12.5927040577
cmine,0.055,0.5,0.6,./../dataset/kosarak/kosarak_160K.txt,././outputs/kosarak/kosarak_0.055_0.5_0.6_kosarak_160K.txt,0.3896150589,160,12.9812469482
cmine,0.055,0.5,0.6,./../dataset/kosarak/kosarak_165K.txt,././outputs/kosarak/kosarak_0.055_0.5_0.6_kosarak_165K.txt,0.3994090557,160,13.9861328602
cmine,0.055,0.5,0.6,./../dataset/kosarak/kosarak_170K.txt,././outputs/kosarak/kosarak_0.055_0.5_0.6_kosarak_170K.txt,0.407294035,160,13.7602741718
cmine,0.055,0.5,0.6,./../dataset/kosarak/kosarak_175K.txt,././outputs/kosarak/kosarak_0.055_0.5_0.6_kosarak_175K.txt,0.419301033,160,14.3899610043
cmine,0.055,0.5,0.6,./../dataset/kosarak/kosarak_180K.txt,././outputs/kosarak/kosarak_0.055_0.5_0.6_kosarak_180K.txt,0.4300429821,160,14.5478157997
cmine,0.055,0.5,0.6,./../dataset/kosarak/kosarak_185K.txt,././outputs/kosarak/kosarak_0.055_0.5_0.6_kosarak_185K.txt,0.4664740562,160,16.2964658737
cmine,0.055,0.5,0.6,./../dataset/kosarak/kosarak_190K.txt,././outputs/kosarak/kosarak_0.055_0.5_0.6_kosarak_190K.txt,0.4569211006,160,16.0085179806
cmine,0.055,0.5,0.6,./../dataset/kosarak/kosarak_195K.txt,././outputs/kosarak/kosarak_0.055_0.5_0.6_kosarak_195K.txt,0.4529600143,160,17.1038398743
cmine,0.055,0.5,0.6,./../dataset/kosarak/kosarak_200K.txt,././outputs/kosarak/kosarak_0.055_0.5_0.6_kosarak_200K.txt,0.4818849564,160,16.2617139816
