type_of_algo,minRF,minCS,maxOR,inpfile,outfile,data_read,patterns_checked,process_done
cmine,0.025,0.5,0.1,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.025_0.5_0.1_kosarak_125K.txt,0.3728699684,216,13.6104309559
cmine,0.025,0.5,0.2,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.025_0.5_0.2_kosarak_125K.txt,0.3468949795,403,27.9970550537
cmine,0.025,0.5,0.3,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.025_0.5_0.3_kosarak_125K.txt,0.3031799793,955,70.3512821198
cmine,0.025,0.5,0.4,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.025_0.5_0.4_kosarak_125K.txt,0.3560669422,2117,171.211809158
cmine,0.025,0.5,0.5,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.025_0.5_0.5_kosarak_125K.txt,0.3486349583,4123,346.713695049
cmine,0.025,0.5,0.6,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.025_0.5_0.6_kosarak_125K.txt,0.3402681351,7614,686.952538013
cmine,0.025,0.5,0.7,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.025_0.5_0.7_kosarak_125K.txt,0.3402729034,13204,1172.82569504
cmine,0.025,0.5,0.8,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.025_0.5_0.8_kosarak_125K.txt,0.3441648483,23371,2116.52021289
cmine,0.025,0.5,0.9,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.025_0.5_0.9_kosarak_125K.txt,0.3445968628,49673,4546.27226496
cmine,0.025,0.5,0.6,./../dataset/kosarak/kosarak_105K.txt,././outputs/kosarak/kosarak_0.025_0.5_0.6_kosarak_105K.txt,0.3024690151,7588,551.275723934
cmine,0.025,0.5,0.6,./../dataset/kosarak/kosarak_110K.txt,././outputs/kosarak/kosarak_0.025_0.5_0.6_kosarak_110K.txt,0.3224999905,7586,581.10957098
cmine,0.025,0.5,0.6,./../dataset/kosarak/kosarak_115K.txt,././outputs/kosarak/kosarak_0.025_0.5_0.6_kosarak_115K.txt,0.3490970135,7623,603.903162003
cmine,0.025,0.5,0.6,./../dataset/kosarak/kosarak_120K.txt,././outputs/kosarak/kosarak_0.025_0.5_0.6_kosarak_120K.txt,0.3387861252,7646,628.321644068
cmine,0.025,0.5,0.6,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.025_0.5_0.6_kosarak_125K.txt,0.3561010361,7614,651.559304953
