type_of_algo,minRF,minCS,maxOR,increment,inpfile,outfile,candidate_old,candidate_new,process_done
cmine_increment,0.0425,0.3,0.05,25,../dataset/synthetic/synthetic_increment_25K.txt,./outputs/kosarak/kosarak_25_0.0425_0.3_0.05_synthetic.txt,111,1406,9.69580698013
cmine_increment,0.0425,0.3,0.1,25,../dataset/synthetic/synthetic_increment_25K.txt,./outputs/kosarak/kosarak_25_0.0425_0.3_0.1_synthetic.txt,663,3067,33.4127128124
cmine_increment,0.0425,0.3,0.15,25,../dataset/synthetic/synthetic_increment_25K.txt,./outputs/kosarak/kosarak_25_0.0425_0.3_0.15_synthetic.txt,3038,8334,150.641945839
cmine_increment,0.0425,0.3,0.2,25,../dataset/synthetic/synthetic_increment_25K.txt,./outputs/kosarak/kosarak_25_0.0425_0.3_0.2_synthetic.txt,11435,22868,526.996369839
cmine_increment,0.0425,0.3,0.25,25,../dataset/synthetic/synthetic_increment_25K.txt,./outputs/kosarak/kosarak_25_0.0425_0.3_0.25_synthetic.txt,37016,61280,1866.98916602
cmine_increment,0.0425,0.3,0.3,25,../dataset/synthetic/synthetic_increment_25K.txt,./outputs/kosarak/kosarak_25_0.0425_0.3_0.3_synthetic.txt,101996,145082,6336.04982686
cmine_increment,0.0425,0.3,0.2,5,../dataset/synthetic/synthetic_increment_5K.txt,./outputs/kosarak/kosarak_5_0.0425_0.3_0.2_test_out.txt,4082,14368,149.374965906
cmine_increment,0.0425,0.3,0.2,10,../dataset/synthetic/synthetic_increment_10K.txt,./outputs/kosarak/kosarak_10_0.0425_0.3_0.2_test_out.txt,2599,13662,162.079174042
cmine_increment,0.0425,0.3,0.2,15,../dataset/synthetic/synthetic_increment_15K.txt,./outputs/kosarak/kosarak_15_0.0425_0.3_0.2_test_out.txt,3915,15032,232.170747995
cmine_increment,0.0425,0.3,0.2,20,../dataset/synthetic/synthetic_increment_20K.txt,./outputs/kosarak/kosarak_20_0.0425_0.3_0.2_test_out.txt,3136,14711,274.84889102
cmine_increment,0.0425,0.3,0.2,25,../dataset/synthetic/synthetic_increment_25K.txt,./outputs/kosarak/kosarak_25_0.0425_0.3_0.2_test_out.txt,11435,22868,525.340310097
cmine_increment,0.0425,0.3,0.2,30,../dataset/synthetic/synthetic_increment_30K.txt,./outputs/kosarak/kosarak_30_0.0425_0.3_0.2_test_out.txt,2258,13619,352.90752697
cmine_increment,0.0425,0.3,0.2,35,../dataset/synthetic/synthetic_increment_35K.txt,./outputs/kosarak/kosarak_35_0.0425_0.3_0.2_test_out.txt,9425,16856,497.033698082
cmine_increment,0.0425,0.3,0.2,40,../dataset/synthetic/synthetic_increment_40K.txt,./outputs/kosarak/kosarak_40_0.0425_0.3_0.2_test_out.txt,2591,10027,326.238064051
cmine_increment,0.0425,0.3,0.2,45,../dataset/synthetic/synthetic_increment_45K.txt,./outputs/kosarak/kosarak_45_0.0425_0.3_0.2_test_out.txt,2315,10067,362.965177059
cmine_increment,0.0425,0.3,0.2,50,../dataset/synthetic/synthetic_increment_50K.txt,./outputs/kosarak/kosarak_50_0.0425_0.3_0.2_test_out.txt,9432,17217,629.619767904

cmine_increment,0.045,0.3,0.05,25,../dataset/synthetic/synthetic_increment_25K.txt,./outputs/kosarak/kosarak_25_0.045_0.3_0.05_synthetic.txt,19,1034,5.30890703201
cmine_increment,0.045,0.3,0.1,25,../dataset/synthetic/synthetic_increment_25K.txt,./outputs/kosarak/kosarak_25_0.045_0.3_0.1_synthetic.txt,96,1408,10.6728589535
cmine_increment,0.045,0.3,0.15,25,../dataset/synthetic/synthetic_increment_25K.txt,./outputs/kosarak/kosarak_25_0.045_0.3_0.15_synthetic.txt,293,2142,23.2373611927
cmine_increment,0.045,0.3,0.2,25,../dataset/synthetic/synthetic_increment_25K.txt,./outputs/kosarak/kosarak_25_0.045_0.3_0.2_synthetic.txt,801,3477,54.2101597786
cmine_increment,0.045,0.3,0.25,25,../dataset/synthetic/synthetic_increment_25K.txt,./outputs/kosarak/kosarak_25_0.045_0.3_0.25_synthetic.txt,1572,5346,117.320842028
cmine_increment,0.045,0.3,0.3,25,../dataset/synthetic/synthetic_increment_25K.txt,./outputs/kosarak/kosarak_25_0.045_0.3_0.3_synthetic.txt,2707,7566,223.365054846
cmine_increment,0.045,0.3,0.2,5,../dataset/synthetic/synthetic_increment_5K.txt,./outputs/kosarak/kosarak_5_0.045_0.3_0.2_test_out.txt,1326,3797,31.8073000908
cmine_increment,0.045,0.3,0.2,10,../dataset/synthetic/synthetic_increment_10K.txt,./outputs/kosarak/kosarak_10_0.045_0.3_0.2_test_out.txt,783,3518,29.1355938911
cmine_increment,0.045,0.3,0.2,15,../dataset/synthetic/synthetic_increment_15K.txt,./outputs/kosarak/kosarak_15_0.045_0.3_0.2_test_out.txt,1452,3950,45.7988770008
cmine_increment,0.045,0.3,0.2,20,../dataset/synthetic/synthetic_increment_20K.txt,./outputs/kosarak/kosarak_20_0.045_0.3_0.2_test_out.txt,1357,3920,59.4416589737
cmine_increment,0.045,0.3,0.2,25,../dataset/synthetic/synthetic_increment_25K.txt,./outputs/kosarak/kosarak_25_0.045_0.3_0.2_test_out.txt,801,3477,53.0964460373
cmine_increment,0.045,0.3,0.2,30,../dataset/synthetic/synthetic_increment_30K.txt,./outputs/kosarak/kosarak_30_0.045_0.3_0.2_test_out.txt,908,4169,80.2138240337
cmine_increment,0.045,0.3,0.2,35,../dataset/synthetic/synthetic_increment_35K.txt,./outputs/kosarak/kosarak_35_0.045_0.3_0.2_test_out.txt,1303,4449,98.8744380474
cmine_increment,0.045,0.3,0.2,40,../dataset/synthetic/synthetic_increment_40K.txt,./outputs/kosarak/kosarak_40_0.045_0.3_0.2_test_out.txt,1296,4518,119.401854038
cmine_increment,0.045,0.3,0.2,45,../dataset/synthetic/synthetic_increment_45K.txt,./outputs/kosarak/kosarak_45_0.045_0.3_0.2_test_out.txt,993,4281,128.288988113
cmine_increment,0.045,0.3,0.2,50,../dataset/synthetic/synthetic_increment_50K.txt,./outputs/kosarak/kosarak_50_0.045_0.3_0.2_test_out.txt,980,4274,142.623627901

cmine_increment,0.0475,0.3,0.05,25,../dataset/synthetic/synthetic_increment_25K.txt,./outputs/kosarak/kosarak_25_0.0475_0.3_0.05_synthetic.txt,16,943,4.61662197113
cmine_increment,0.0475,0.3,0.1,25,../dataset/synthetic/synthetic_increment_25K.txt,./outputs/kosarak/kosarak_25_0.0475_0.3_0.1_synthetic.txt,72,1092,6.0775949955
cmine_increment,0.0475,0.3,0.15,25,../dataset/synthetic/synthetic_increment_25K.txt,./outputs/kosarak/kosarak_25_0.0475_0.3_0.15_synthetic.txt,204,1306,11.3261480331
cmine_increment,0.0475,0.3,0.2,25,../dataset/synthetic/synthetic_increment_25K.txt,./outputs/kosarak/kosarak_25_0.0475_0.3_0.2_synthetic.txt,496,1664,20.3185150623
cmine_increment,0.0475,0.3,0.25,25,../dataset/synthetic/synthetic_increment_25K.txt,./outputs/kosarak/kosarak_25_0.0475_0.3_0.25_synthetic.txt,970,2159,31.3590362072
cmine_increment,0.0475,0.3,0.3,25,../dataset/synthetic/synthetic_increment_25K.txt,./outputs/kosarak/kosarak_25_0.0475_0.3_0.3_synthetic.txt,1705,2881,57.6111550331
cmine_increment,0.0475,0.3,0.2,5,../dataset/synthetic/synthetic_increment_5K.txt,./outputs/kosarak/kosarak_5_0.0475_0.3_0.2_test_out.txt,835,1948,13.456485033
cmine_increment,0.0475,0.3,0.2,10,../dataset/synthetic/synthetic_increment_10K.txt,./outputs/kosarak/kosarak_10_0.0475_0.3_0.2_test_out.txt,407,1613,10.8951668739
cmine_increment,0.0475,0.3,0.2,15,../dataset/synthetic/synthetic_increment_15K.txt,./outputs/kosarak/kosarak_15_0.0475_0.3_0.2_test_out.txt,560,1746,14.7930548191
cmine_increment,0.0475,0.3,0.2,20,../dataset/synthetic/synthetic_increment_20K.txt,./outputs/kosarak/kosarak_20_0.0475_0.3_0.2_test_out.txt,447,1673,17.8653638363
cmine_increment,0.0475,0.3,0.2,25,../dataset/synthetic/synthetic_increment_25K.txt,./outputs/kosarak/kosarak_25_0.0475_0.3_0.2_test_out.txt,496,1664,18.0908710957
cmine_increment,0.0475,0.3,0.2,30,../dataset/synthetic/synthetic_increment_30K.txt,./outputs/kosarak/kosarak_30_0.0475_0.3_0.2_test_out.txt,603,1745,22.289525032
cmine_increment,0.0475,0.3,0.2,35,../dataset/synthetic/synthetic_increment_35K.txt,./outputs/kosarak/kosarak_35_0.0475_0.3_0.2_test_out.txt,643,1785,26.8752059937
cmine_increment,0.0475,0.3,0.2,40,../dataset/synthetic/synthetic_increment_40K.txt,./outputs/kosarak/kosarak_40_0.0475_0.3_0.2_test_out.txt,632,1786,29.2346839905
cmine_increment,0.0475,0.3,0.2,45,../dataset/synthetic/synthetic_increment_45K.txt,./outputs/kosarak/kosarak_45_0.0475_0.3_0.2_test_out.txt,648,1799,28.5650229454
cmine_increment,0.0475,0.3,0.2,50,../dataset/synthetic/synthetic_increment_50K.txt,./outputs/kosarak/kosarak_50_0.0475_0.3_0.2_test_out.txt,655,1805,35.4962711334

cmine_increment,0.05,0.3,0.05,25,../dataset/synthetic/synthetic_increment_25K.txt,./outputs/kosarak/kosarak_25_0.05_0.3_0.05_synthetic.txt,47,937,4.22360992432
cmine_increment,0.05,0.3,0.1,25,../dataset/synthetic/synthetic_increment_25K.txt,./outputs/kosarak/kosarak_25_0.05_0.3_0.1_synthetic.txt,177,1088,7.19883108139
cmine_increment,0.05,0.3,0.15,25,../dataset/synthetic/synthetic_increment_25K.txt,./outputs/kosarak/kosarak_25_0.05_0.3_0.15_synthetic.txt,429,1338,11.5606811047
